CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
,,,,,,TWRF,01:00 pm-04:10 pm,TBA,01/15-01/21,FSB 0005
41214,BLS,342,B,3,Legal Environment of Business,MTWRF,08:00 am-05:00 pm,Laura Ann Powell (P); Kim I. Suellau,12/19-01/18,TBA
40308,BLS,399L,A,3,FSB Legal London,MTWRF,08:00 am-05:00 pm,Daniel J. Herron (P); Kim I. Suellau,12/19-01/18,TBA
41215,BLS,464,A,3,International Business Law,MTWRF,08:00 am-05:00 pm,Daniel J. Herron (P); Kim I. Suellau,12/19-01/18,TBA
40132,BLS,465,A,3,Ethics; Law; & Business,MTWR,01:00 pm-04:10 pm,Karen D. Meyers (P),01/02-01/14,FSB 0020
,,,,,,TWRF,01:00 pm-04:10 pm,TBA,01/15-01/21,FSB 0020
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41233,CPB,102,A,3,Intro Chem and Bioengineering,MTWR,01:00 pm-04:25 pm,Jessica Leigh Sparks (P),01/02-01/21,BEN 115
40841,CPB,204,A,3,Material & Energy Balances,MTWR,08:30 am-11:55 am,Jason Berberich (P),01/02-01/21,EGB 165
40840,CPB,311,A,2,Unit Operations Laboratory I,MTWRF,08:30 am-09:25 am,Mohammad Abdul Alim Dewan (P),01/02-01/21,EGB 162
,,,,,,MTWRF,09:30 am-11:25 am,TBA,01/02-01/21,EGB 162
41032,CPB,313,A,3,Fluid Mechanics,MTWRF,09:00 am-11:45 am,Benjamin Carter Hamilton (P),01/02-01/21,EGB 270
41118,CPB,314,A,3,Engineering Thermodynamics,,TBA,Lei L. Kerr (P),01/02-01/21,WEB
40525,CPB,341,A,3,Engineering Economics,,TBA,Shashi B. Lalvani (P),01/02-01/21,WEB
40803,CPB,341,C,3,Engineering Economics,MTWR,08:30 am-11:55 am,Catherine Almquist (P),01/02-01/21,BEN 115
41202,CPB,341,D,3,Engineering Economics,,TBA,Shashi B. Lalvani (P),12/26-01/22,TBA
41191,CPB,403,A,3,Heat Transfer,MTWRF,09:00 am-11:45 am,Edgar Javier Caraballo (P),01/02-01/21,BEN 204
40528,CPB,451,A,2,Unit Operations Laboratory II,MTWRF,01:00 pm-01:55 pm,Mohammad Abdul Alim Dewan (P),01/02-01/21,EGB 165
,,,,,,MTWRF,02:00 pm-03:55 pm,TBA,01/02-01/21,EGB 165
40907,CPB,483,A,1,Chemical Process Safety,,TBA,Douglas W. Coffin (P),01/02-01/21,WEB
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41019,CHM,111,A,3,Chemistry In Modern Society,,TBA,Robert M. Breece (P),01/02-01/21,WEB
41018,CHM,204,A,1,Organic Chemistry I Review,,TBA,Meredith Erb (P),01/02-01/21,WEB
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
