CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
68310,ACC,343,B,3,Federal Income Tax Accounting,WF,10:00 am-11:20 am,Roger D. Ames (P),01/23-05/13,FSB 0027
68309,ACC,343,C,3,Federal Income Tax Accounting,TR,11:30 am-12:50 pm,Michele Frank (P),01/23-05/13,FSB 0027
70024,ACC,343,D,3,Federal Income Tax Accounting,TR,01:00 pm-02:20 pm,Michele Frank (P),01/23-05/13,FSB 0027
25595,ACC,361,A,3,Modeling Bus Proc in AIS,MW,01:00 pm-02:20 pm,Jan Ellen Eighme (P),01/23-05/13,FSB 0031
25597,ACC,361,B,3,Modeling Bus Proc in AIS,MW,02:30 pm-03:50 pm,Jan Ellen Eighme (P),01/23-05/13,FSB 0031
75996,ACC,361,C,3,Modeling Bus Proc in AIS,MW,04:00 pm-05:20 pm,Jan Ellen Eighme (P),01/23-05/13,FSB 0031
81821,ACC,361,D,3,Modeling Bus Proc in AIS,TR,04:00 pm-05:20 pm,Michael Dale Stoel (P),01/23-05/13,FSB 0026
68312,ACC,422,A,3,Financial Accounting Research,MW,11:30 am-12:50 pm,Jan Ellen Eighme (P),01/23-05/13,FSB 0020
25601,ACC,422,B,3,Financial Accounting Research,MW,02:30 pm-03:50 pm,Timothy Vance Eaton (P),01/23-05/13,FSB 0026
66492,ACC,445,A,3,Corp. Partnrshp&Taxation,WF,11:30 am-12:50 pm,William J. Moser (P),01/23-05/13,FSB 0027
,,,,,,W,06:00 pm-08:30 pm,TBA,03/08-03/08,FSB 0019
,,,,,,W,06:00 pm-08:30 pm,TBA,04/26-04/26,FSB 0019
74801,ACC,452,A,3,Internal Auditing,MW,04:00 pm-05:20 pm,James Daniel Krause (P),01/23-05/13,FSB 0020
20161,ACC,453,A,3,Financial Statement Auditing,MW,11:30 am-12:50 pm,Jonathan Hallberg Grenier (P),01/23-05/13,FSB 0028
20162,ACC,453,B,3,Financial Statement Auditing,MW,01:00 pm-02:20 pm,Jonathan Hallberg Grenier (P),01/23-05/13,FSB 0028
66493,ACC,453,C,3,Financial Statement Auditing,TR,08:30 am-09:50 am,Jonathan Stanley Pyzoha (P),01/23-05/13,FSB 0026
78187,ACC,453,D,3,Financial Statement Auditing,TR,10:00 am-11:20 am,Jonathan Stanley Pyzoha (P),01/23-05/13,FSB 0026
76002,ACC,461,A,3,Acc For Business Combination,TR,11:30 am-12:50 pm,Po-Chang Chen (P),01/23-05/13,FSB 0028
75302,ACC,468,A,3,Government and NFP Accounting,TR,02:30 pm-03:50 pm,Dara Marie Marshall (P),01/23-05/13,FSB 0027
81836,ACC,468,B,3,Government and NFP Accounting,TR,04:00 pm-05:20 pm,Dara Marie Marshall (P),01/23-05/13,FSB 0027
80036,ACC,490E,A,3,Data Analytics,TR,02:30 pm-03:50 pm,Michael Dale Stoel (P),01/23-05/13,FSB 0026
81837,ACC,522,C,3,Financial Accounting Research,MW,01:00 pm-02:20 pm,Timothy Vance Eaton (P),01/23-05/13,FSB 0026
72820,ACC,622,A,3,Info Business Valuation Decn,MW,04:00 pm-05:20 pm,Marc A. Rubin (P),01/23-05/13,FSB 0028
80278,ACC,628,A,3,Advanced Financial Accounting,TR,01:00 pm-02:20 pm,Po-Chang Chen (P),01/23-05/13,FSB 0028
71418,ACC,650,A,3,Fraud Examination,MW,02:30 pm-03:50 pm,Jonathan Hallberg Grenier (P),01/23-05/13,FSB 0028
79351,ACC,653,A,3,Assurance Services,TR,11:30 am-12:50 pm,Andrew B. Reffett (P),01/23-05/13,FSB 0031
20173,ACC,695,A,3,Integrative Acc Capstone,TR,10:00 am-11:20 am,Dan L. Heitger (P),01/23-05/13,FSB 0031
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
20180,AES,111,A,1,Leadership Laboratory,R,04:00 pm-05:55 pm,Apollo-Rex Michael-Kenneth Revelee (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/23-05/13,MIL 061
20181,AES,122,A,1,Fndtns of the U.S. Air Force,T,02:30 pm-03:25 pm,Apollo-Rex Michael-Kenneth Revelee (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/23-05/13,MIL 061
