CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
82292,ECO,461,A,3,Indust Orgnztn & Public Policy,MW,01:00 pm-02:20 pm,Kory Mitchell Garner (P),01/23-05/13,LWS 304
82293,ECO,461,B,3,Indust Orgnztn & Public Policy,MW,02:30 pm-03:50 pm,Kory Mitchell Garner (P),01/23-05/13,LWS 304
70003,ECO,465,A,3,Game Theory/Econ Applications,TR,04:00 pm-05:20 pm,Jacob Brindley (P),01/23-05/13,FSB 1006
73033,ECO,506,A,3,Environmental Economics,TR,01:00 pm-02:20 pm,Steven R. Elliott (P),01/23-05/13,FSB 1006
81582,ECO,518,A,3,Monetary Theory And Policy,WF,11:30 am-12:50 pm,Prosper Raynold (P),01/23-05/13,FSB 1006
78113,ECO,518,B,3,Monetary Theory And Policy,WF,01:00 pm-02:20 pm,Prosper Raynold (P),01/23-05/13,FSB 1006
78114,ECO,542,A,3,Internatl Monetary Relations,TR,11:30 am-12:50 pm,Norman C. Miller (P),01/23-05/13,FSB 0005
79343,ECO,551,A,3,Economic History,MW,02:30 pm-03:50 pm,Melissa A. Thomasson (P),01/23-05/13,FSB 0014
76156,ECO,671,A,3,Topics in Applied Econometrics,MW,11:30 am-12:50 pm,Austin Crowley Smith (P),01/23-05/13,LWS 302
76192,ECO,672,A,3,Applied Time Series Analysis,TR,04:00 pm-05:20 pm,Jing Li (P),01/23-05/13,FSB 0020
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
76819,EHS,195,A,1,Leadership/Healthy Communities,M,04:00 pm-04:55 pm,TBA,01/23-05/13,MCG 119
80570,EHS,401,A,3,Life Meaning & Mindfulness,MW,01:00 pm-02:20 pm,Suzanne Klatt (P),01/23-05/13,HUG 143
80573,EHS,422,A,1,Contemplative Inquiry Lab,M,04:00 pm-04:55 pm,Suzanne Klatt (P),01/23-05/13,MCG 128
80575,EHS,422,B,1,Contemplative Inquiry Lab,T,08:30 am-09:25 am,Suzanne Klatt (P),01/23-05/13,MCG 128
80571,EHS,501,A,3,Life Meaning & Mindfulness,MW,01:00 pm-02:20 pm,Suzanne Klatt (P),01/23-05/13,HUG 143
80574,EHS,522,A,1,Contemplative Inquiry Lab,M,04:00 pm-04:55 pm,Suzanne Klatt (P),01/23-05/13,MCG 128
80576,EHS,522,B,1,Contemplative Inquiry Lab,T,08:30 am-09:25 am,Suzanne Klatt (P),01/23-05/13,MCG 128
71506,EHS,667,A,3,Behavior Statistics,TR,04:00 pm-05:20 pm,William John Boone (P),01/23-05/13,MCG 226
77136,EHS,710,A,1.000-6.000,Interdiscip. Doctoral Lab,,TBA,TBA,01/23-05/13,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
78647,EDL,100,A,2,Career Devlp College Student,M,04:00 pm-05:50 pm,TBA,01/23-05/13,MCG 225
82328,EDL,100,C,2,Career Devlp College Student,T,04:00 pm-05:50 pm,TBA,01/23-05/13,MCG 223
78666,EDL,100,D,2,Career Devlp College Student,W,04:00 pm-05:50 pm,TBA,01/23-05/13,MCG 224
78667,EDL,100,E,2,Career Devlp College Student,R,04:00 pm-05:50 pm,TBA,01/23-05/13,MCG 224
78668,EDL,100,F,2,Career Devlp College Student,M,02:30 pm-04:20 pm,TBA,01/23-05/13,MCG 122
78648,EDL,100,QB,2,Career Devlp College Student,W,10:00 am-12:05 pm,Shamika Nicole Karikari (P),02/06-05/13,HYT 205
78963,EDL,151,A,2,The American University,WF,11:30 am-12:25 pm,TBA,01/23-05/13,TBA
78964,EDL,151,B,2,The American University,WF,01:00 pm-01:55 pm,TBA,01/23-05/13,MCG 119
80645,EDL,151,C,2,The American University,TR,10:00 am-10:55 am,TBA,01/23-05/13,MCG 311
77013,EDL,195,TA,2,Facilitation & Group Dynamics,MW,11:30 am-12:50 pm,William Sparks (P),01/30-03/17,RSC 057
77014,EDL,195,UA,2,Facilitation & Group Dynamics,MW,11:30 am-12:50 pm,William Sparks (P),03/27-05/13,RSC 057
78705,EDL,203,A,3,Intro to Crit. Youth Studies,TR,02:30 pm-03:50 pm,Durell Maurice Callier (P),01/23-05/13,MCG 215
82546,EDL,203,B,3,Intro to Crit. Youth Studies,TR,04:00 pm-05:20 pm,Durell Maurice Callier (P),01/23-05/13,TBA
80499,EDL,204,A,3,Sociocultural Studies In Educ,T,04:10 pm-06:50 pm,Brittany Alexis Aronson (P),01/23-05/13,MCG 215
20761,EDL,204,B,3,Sociocultural Studies In Educ,R,04:10 pm-06:50 pm,Rebecca A. Howard (P),01/23-05/13,MCG 416
64452,EDL,204,D,3,Sociocultural Studies In Educ,TR,10:00 am-11:20 am,Angela Stefan Trubceac (P),01/23-05/13,MCG 222
65248,EDL,204,F,3,Sociocultural Studies In Educ,TR,01:00 pm-02:20 pm,Ryan Charles Graham (P),01/23-05/13,MCG 215
69693,EDL,204,G,3,Sociocultural Studies In Educ,MWF,01:00 pm-01:55 pm,Tanya Marie Willard (P),01/23-05/13,MCG 311
20763,EDL,204,H,3,Sociocultural Studies In Educ,MWF,01:00 pm-01:55 pm,Molly Kristina Sawyer (P),01/23-05/13,MCG 222
20764,EDL,204,I,3,Sociocultural Studies In Educ,MWF,01:00 pm-01:55 pm,Lateasha Nicol Meyers (P),01/23-05/13,MCG 225
69694,EDL,204,J,3,Sociocultural Studies In Educ,MWF,01:00 pm-01:55 pm,Jason Alan Harnish (P),01/23-05/13,MCG 120
65247,EDL,204,U,3,Sociocultural Studies In Educ,M,04:10 pm-06:50 pm,Tiffany Jacqueline Williams (P),01/23-05/13,MCG 418
81678,EDL,218,A,3,Leadership Development,T,10:00 am-11:20 am,Eric F. Buller (P),01/23-05/13,MCG 118
74787,EDL,232,A,3,Intro to Community Leadership,TR,08:30 am-09:25 am,Brittany Alexis Aronson (P),01/23-05/13,MCG 218
75200,EDL,260,QA,1,Undergraduate Research,T,04:00 pm-05:05 pm,TBA,02/06-05/13,MCG 120
78529,EDL,290G,A,2,Fraternity and Sorority Life,W,04:00 pm-05:40 pm,TBA,01/23-05/13,MCG 122
78530,EDL,290O,A,2,Exploration of Leadership,MW,01:00 pm-01:50 pm,Jeremy Seth Bragg (P),01/23-05/13,MCG 224
78531,EDL,290O,B,2,Exploration of Leadership,TR,01:00 pm-01:50 pm,Jeremy Seth Bragg (P),01/23-05/13,MCG 416
76934,EDL,290O,C,2,Exploration of Leadership,MW,02:30 pm-03:20 pm,Jeremy Seth Bragg (P),01/23-05/13,MCG 224
76932,EDL,290S,A,2,Group Leadership: Student Orgs,T,02:30 pm-04:10 pm,Jeremy Seth Bragg (P),01/23-05/13,MCG 224
20780,EDL,301,VA,1,Student Develop Residence Hall,M,02:30 pm-03:55 pm,Erik Sorensen (P),01/30-04/07,MCG 222
72395,EDL,301,VB,1,Student Develop Residence Hall,T,02:30 pm-03:55 pm,Erik Sorensen (P),01/30-04/07,MCG 419
72396,EDL,301,VC,1,Student Develop Residence Hall,F,11:30 am-12:55 pm,Erik Sorensen (P),01/30-04/07,MCG 120
62014,EDL,310,UA,1,Col Studnt Dvlpmt & Grp Procs,W,04:00 pm-05:40 pm,Leslie Haxby McNeill (P),03/27-05/13,MCG 221
25735,EDL,318A,A,3,Teacher Ldrshp:Adolescent Educ,M,04:10 pm-06:50 pm,Loveness Ngorosha (P),01/23-05/13,MCG 215
25736,EDL,318A,B,3,Teacher Ldrshp:Adolescent Educ,T,04:10 pm-06:50 pm,Thomas S. Poetter (P),01/23-05/13,MCG 218
25729,EDL,318E,A,3,Teacher Ldrshp:Early Childhood,R,02:30 pm-05:10 pm,Vanessa Grace Winn (P),01/23-05/13,MCG 121
69696,EDL,318E,B,3,Teacher Ldrshp:Early Childhood,R,11:30 am-02:10 pm,Dianne C. Suiter (P),01/23-05/13,MCG 311
69697,EDL,318E,C,3,Teacher Ldrshp:Early Childhood,R,08:30 am-11:10 am,Peggy Sue Larrick (P),01/23-05/13,MCG 118
28687,EDL,318M,A,3,Teacher Leadrshp/Mid Childhood,TR,11:30 am-12:50 pm,Brittany Alexis Aronson (P),01/23-05/13,MCG 121
75776,EDL,318M,B,3,Teacher Leadrshp/Mid Childhood,TR,10:00 am-11:20 am,Brittany Alexis Aronson (P),01/23-05/13,MCG 121
78771,EDL,382,A,3,Service in Urban Communities I,F,01:00 pm-05:00 pm,Chasity Mone't Dittmann (P),01/23-05/13,MCG 416
81732,EDL,416,A,1,Myaamia Language & Culture 2,T,05:40 pm-06:35 pm,George Michael Ironstrack (P),01/23-05/13,MCG 120
75725,EDL,464,A,3,Community-Based Leadership,MW,11:30 am-12:50 pm,Michael Pier Evans (P),01/23-05/13,MCG 218
82308,EDL,601,A,3,Educational Leadership Theory,M,04:30 pm-07:00 pm,Kathleen Mecoli (P),01/23-05/13,OFF
82310,EDL,614,A,3,Family-Comm-School Prtnshps,M,07:15 pm-09:45 pm,Jennifer Schwanke (P),01/23-05/13,OFF
82311,EDL,614,B,3,Family-Comm-School Prtnshps,W,04:30 pm-07:00 pm,Andrew M. Smith (P),01/23-05/13,OFF
82306,EDL,621,A,3,Foundatns Multiculturlal Educ,R,04:10 pm-06:50 pm,Richard A. Quantz (P),01/23-05/13,MCG 122
79386,EDL,629,A,3,Hst Of Education In America,,TBA,Kate Rousmaniere (P),01/23-05/13,WEB
82309,EDL,645,A,3,Supervision Of Teaching,M,04:30 pm-07:00 pm,Mary Helen Moorhead (P),01/23-05/13,OFF
75859,EDL,656G,A,4,Field Experience Exploration,M,04:00 pm-06:40 pm,Kathleen M. Goodman (P),01/23-05/13,MCG 224
75862,EDL,656G,B,4,Field Experience Exploration,T,04:00 pm-06:40 pm,Kathleen M. Goodman (P),01/23-05/13,MCG 122
75857,EDL,656I,A,3,Field Experience Synthesis,W,10:00 am-12:40 pm,David Perez (P),01/23-05/13,MCG 119
75858,EDL,656I,B,3,Field Experience Synthesis,W,04:00 pm-06:40 pm,David Perez (P),01/23-05/13,MCG 316
77513,EDL,657,A,3,Internships in Student Affairs,,TBA,Judith L. Rogers (P),01/23-05/13,WEB
77163,EDL,660D,A,1,Critical Thinking in Writing,T,09:30 am-10:30 am,Christina Rene' Carrubba-Whetstine (P),01/23-05/13,MCG 119
73163,EDL,667,A,3,Diversity and Equity,W,01:00 pm-03:40 pm,Stephen John Quaye (P),01/23-05/13,MCG 317
79407,EDL,667,B,3,Diversity and Equity,R,10:00 am-12:40 pm,Stephen John Quaye (P),01/23-05/13,MCG 317
81745,EDL,671,A,3,Crisis Management Seminar,M,10:00 am-12:40 pm,Mahauganee Dawn Shaw (P),01/23-05/13,MCG 117
79409,EDL,678,A,3,Student Development Theory II,M,01:00 pm-03:40 pm,Elisa S. Abes (P),01/23-05/13,MCG 226
82473,EDL,699H,A,1,iDisc Facil Fdns 2,,TBA,Sarah B. Woodruff (P),01/23-05/13,WEB
79420,EDL,706,B,3,Educational Ldrshp&Orgnztn Dev,W,10:00 am-12:40 pm,Judith L. Rogers (P),01/23-05/13,MCG 311
82312,EDL,723,A,3,School Finance,W,07:15 pm-09:45 pm,Steven Hinshaw (P),01/23-05/13,OFF
81750,EDL,727,TA,3,Bus Affairs & Physicl Resource,R,04:30 pm-07:30 pm,Thomas L. Goodney (P),01/30-03/17,OFF
81754,EDL,751,A,3,Social Engagement in Higher Ed,R,04:00 pm-06:40 pm,Kathleen Knight Abowitz (P),01/23-05/13,MCG 120
81755,EDL,764,A,3,Education Democratic Society,M,07:00 pm-09:40 pm,Kate Rousmaniere (P),01/23-05/13,MCG 117
80426,EDL,765,B,3,Curric; Pedag; Diversity,M,04:00 pm-06:40 pm,Denise Marie Baszile (P),01/23-05/13,MCG 316
71988,EDL,772,A,3,Advanced Research Design,R,07:00 pm-09:40 pm,Joel Robert Malin (P),01/23-05/13,MCG 117
78283,EDL,775,A,3,Theoreticl Foundatns Of Ed Inq,,TBA,Richard A. Quantz (P),01/23-05/13,WEB
81756,EDL,776,A,3,SAHE Research Practicum,T,04:00 pm-06:40 pm,Mahauganee Dawn Shaw (P),01/23-05/13,MCG 416
66662,EDL,780W,A,3,Adv Sem: Cultural Studies,W,04:10 pm-06:50 pm,Lisa D. Weems (P),01/23-05/13,MCG 218
81757,EDL,782,WA,3,Social Justice Transformation,W,04:30 pm-07:30 pm,Lucian August Szlizewski (P),03/06-05/13,OFF
81758,EDL,785,A,3,Theory Gender; Sex; Ed,T,04:10 pm-06:50 pm,Lisa D. Weems (P),01/23-05/13,MCG 422
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
79332,EDP,101,B,3,Psychology Of The Learner,MW,01:00 pm-02:20 pm,Jane Elizabeth Richey (P),01/23-05/13,HRN 012
20834,EDP,201,A,3,Human Dvlpmnt&Learng/Ed Envir,TR,10:00 am-11:20 am,TBA,01/23-05/13,HRN 111
20835,EDP,201,B,3,Human Dvlpmnt&Learng/Ed Envir,TR,11:30 am-12:50 pm,TBA,01/23-05/13,HRN 111
20836,EDP,201,C,3,Human Dvlpmnt&Learng/Ed Envir,MW,10:00 am-11:20 am,TBA,01/23-05/13,UPH 002
20837,EDP,201,D,3,Human Dvlpmnt&Learng/Ed Envir,MW,11:30 am-12:50 pm,TBA,01/23-05/13,HRN 204
73813,EDP,201,QA,3,Human Dvlpmnt&Learng/Ed Envir,T,04:00 pm-06:40 pm,Joseph Earl Schroer (P),02/06-05/13,MCG 217
80527,EDP,201,WA,3,Human Dvlpmnt&Learng/Ed Envir,TR,07:00 pm-09:20 pm,Joseph Earl Schroer (P),03/06-05/13,MCG 118
77764,EDP,256,A,3,Psy/Learners With Exception,WF,10:00 am-11:20 am,Ashley Elizabeth Johnson (P),01/23-05/13,HRN 012
66648,EDP,256,B,3,Psy/Learners With Exception,TR,10:00 am-11:20 am,Molly D. Kelly (P),01/23-05/13,HRN 012
77765,EDP,256,C,3,Psy/Learners With Exception,TR,11:30 am-12:50 pm,Molly D. Kelly (P),01/23-05/13,HRN 012
79335,EDP,272,B,3,Intro to Disability Studies,MW,01:00 pm-02:20 pm,Molly D. Kelly (P),01/23-05/13,MCG 223
80471,EDP,272,C,3,Intro to Disability Studies,T,06:00 pm-08:40 pm,Rosemary Rotuno-Johnson (P),01/23-05/13,MCG 223
81567,EDP,272,D,3,Intro to Disability Studies,W,06:00 pm-08:40 pm,Mark William O'Hara (P),01/23-05/13,MCG 223
82492,EDP,272,E,3,Intro to Disability Studies,M,06:00 pm-08:40 pm,Ashley Elizabeth Johnson (P),01/23-01/23,MCG 223
,,,,,,M,06:00 pm-08:40 pm,TBA,03/06-03/06,MCG 223
,,,,,,M,06:00 pm-08:40 pm,TBA,04/03-04/03,MCG 223
,,,,,,M,06:00 pm-08:40 pm,TBA,05/01-05/01,MCG 223
73498,EDP,272H,A,3,Intro to Disability Studies,MF,11:30 am-12:50 pm,Ashley Elizabeth Johnson (P),01/23-05/13,MCG 418
71502,EDP,279,A,3,Tech + Media Lit and Learning,,TBA,Michele D. Dickey (P),01/23-05/13,WEB
72239,EDP,279,B,3,Tech + Media Lit and Learning,,TBA,James David Swartz (P),01/23-05/13,WEB
72904,EDP,279,C,3,Tech + Media Lit and Learning,,TBA,James David Swartz (P),01/23-05/13,WEB
72906,EDP,279,D,3,Tech + Media Lit and Learning,,TBA,Jason T. Abbitt (P),01/23-05/13,WEB
81574,EDP,301A,A,3,Assesst & Eval In Ed Settings,MW,11:30 am-12:50 pm,Mary Theresa Peters (P),01/23-05/13,MCG 121
64174,EDP,301A,B,3,Assesst & Eval In Ed Settings,MW,01:00 pm-02:20 pm,Mary Theresa Peters (P),01/23-05/13,MCG 121
82359,EDP,301A,C,3,Assesst & Eval In Ed Settings,MW,10:00 am-11:20 am,Raymond Witte (P),01/23-05/13,MCG 225
82548,EDP,324,A,3,Research & Applied Writing,TR,02:30 pm-03:50 pm,Joseph Earl Schroer (P),03/06-05/13,MCG 226
76075,EDP,351,A,1,Miami Connections Mentoring,F,02:30 pm-03:50 pm,Leah Hope Wasburn-Moses (P),01/23-05/13,MCG 118
82225,EDP,375,A,3,Allies and Activists,MW,10:00 am-11:20 am,Elisa S. Abes (P),01/23-05/13,MCG 416
20858,EDP,419F,A,15,Sup Tchg: Mild/Moderate,,TBA,Amy L. Emery (P),01/23-05/13,TBA
25909,EDP,432,A,3,Assess&Edu Plan/Chld Age 3-8,MW,04:00 pm-05:20 pm,Joseph Earl Schroer (P),01/23-05/13,MCG 223
61356,EDP,432,B,3,Assess&Edu Plan/Chld Age 3-8,MW,02:30 pm-03:50 pm,Joseph Earl Schroer (P),01/23-05/13,MCG 223
82353,EDP,444,A,3,Tchng Soc&Aff Skill To Chd/Yth,W,07:00 pm-09:40 pm,Randolph S. Siler (P),01/23-05/13,MCG 222
81592,EDP,458,A,3,Moderate Intensive Methods,MW,01:00 pm-02:20 pm,Ashley Elizabeth Johnson (P),01/23-05/13,MCG 418
69669,EDP,459,A,3,Practicum in Special Education,TR,10:00 am-11:20 am,Leah Hope Wasburn-Moses (P),01/23-05/13,MCG 215
79381,EDP,459,B,3,Practicum in Special Education,TR,11:30 am-12:50 pm,Leah Hope Wasburn-Moses (P),01/23-05/13,MCG 217
81597,EDP,459G,A,3,Prac: Moderate/Intensive Sp Ed,TR,10:00 am-11:20 am,Ashley Elizabeth Johnson (P),01/23-05/13,HUG 158
68322,EDP,471,A,3,Literacy Seminar: Clinical,TR,03:55 pm-05:10 pm,Sarah Jean Watt (P),01/23-05/13,MCG 317
82315,EDP,472,A,3,Literacy Seminar:Practicum,W,04:00 pm-06:40 pm,Randolph S. Siler (P),01/23-05/13,MCG 119
20871,EDP,478,A,3,Consult & Collab in Spec Ed,TR,02:30 pm-03:50 pm,Molly D. Kelly (P),01/23-05/13,MCG 217
81730,EDP,483,A,3,Serious & Educ. Game Desgn&Sim,,TBA,Michele D. Dickey (P),01/23-05/13,WEB
80428,EDP,485,A,3,Autism: Behavior Interventions,,TBA,Katherine Rae Mezher (P),01/23-05/13,WEB
82397,EDP,486,A,3,Methods I,WF,11:30 am-12:50 pm,Sarah Jean Watt (P),01/23-05/13,MCG 122
76096,EDP,489,A,3,Disability Glob/Local Contexts,W,06:00 pm-08:40 pm,TBA,01/23-05/13,MCG 225
20875,EDP,494,A,3,Assessment/Eval Except Lrners,MW,02:30 pm-03:50 pm,Mary Theresa Peters (P),01/23-05/13,MCG 117
78392,EDP,494,B,3,Assessment/Eval Except Lrners,MW,08:30 am-09:50 am,Mary Theresa Peters (P),01/23-05/13,MCG 117
69671,EDP,495,A,3,Incl/Adapt Mild/Mod & Gifted,T,04:00 pm-06:40 pm,Tamara Leigh Brewer (P),01/23-05/13,MCG 117
71913,EDP,495E,A,3,Incl/Adp:Mild/Mod/Gift Erl Ch,M,07:00 pm-09:40 pm,Katherine Rae Mezher (P),01/23-05/13,MCG 218
68326,EDP,495E,B,3,Incl/Adp:Mild/Mod/Gift Erl Ch,M,04:00 pm-06:40 pm,Katherine Rae Mezher (P),01/23-05/13,MCG 218
20877,EDP,496,A,3,Behav Intervtn:Thry/Princ/Tech,WF,01:00 pm-02:20 pm,Cheri L. Bryant (P),01/23-05/13,MCG 215
78397,EDP,496,B,3,Behav Intervtn:Thry/Princ/Tech,WF,10:00 am-11:20 am,Cheri L. Bryant (P),01/23-05/13,MCG 117
25926,EDP,532,A,3,Assess&Edu Plan/Chld Age 3-8,MW,04:00 pm-05:20 pm,Joseph Earl Schroer (P),01/23-05/13,MCG 223
61357,EDP,532,B,3,Assess&Edu Plan/Chld Age 3-8,MW,02:30 pm-03:50 pm,Joseph Earl Schroer (P),01/23-05/13,MCG 223
82354,EDP,544,A,3,Tchng Soc&Aff Skill To Chd/Yth,W,07:00 pm-09:40 pm,Randolph S. Siler (P),01/23-05/13,MCG 222
69670,EDP,559,A,3,Practicum in Special Education,TR,10:00 am-11:20 am,Leah Hope Wasburn-Moses (P),01/23-05/13,MCG 215
68323,EDP,571,A,3,Literacy Seminar: Clinical,TR,03:55 pm-05:10 pm,Sarah Jean Watt (P),01/23-05/13,MCG 317
20884,EDP,578,A,3,Consult & Collab in Spec Ed,TR,02:30 pm-03:50 pm,Molly D. Kelly (P),01/23-05/13,MCG 217
81731,EDP,583,A,3,Serious & Educ. Game Desgn&Sim,,TBA,Michele D. Dickey (P),01/23-05/13,WEB
80429,EDP,585,A,3,Autism: Behavior Interventions,,TBA,Katherine Rae Mezher (P),01/23-05/13,WEB
20887,EDP,594,A,3,Assessment/Eval Except Lrners,MW,02:30 pm-03:50 pm,Mary Theresa Peters (P),01/23-05/13,MCG 117
69672,EDP,595,A,3,Incl/Adapt Mild/Mod & Gifted,T,04:00 pm-06:40 pm,Tamara Leigh Brewer (P),01/23-05/13,MCG 117
20889,EDP,596,A,3,Behav Intervtn:Thry/Princ/Tech,WF,01:00 pm-02:20 pm,Cheri L. Bryant (P),01/23-05/13,MCG 215
20891,EDP,611,A,5,Psychoeduc Assess&Intervent I,MW,12:45 pm-03:00 pm,Michael Francis Woodin (P),01/23-05/13,MCG 422
82058,EDP,637,A,3,Distance Learning,,TBA,Michele D. Dickey (P),01/23-05/13,WEB
28016,EDP,650,A,3,Seminar In Special Education,R,04:00 pm-06:40 pm,Erin A. Harper (P),01/23-05/13,MCG 119
76114,EDP,651,A,3,Educational Research,M,04:00 pm-06:40 pm,Aimin Wang (P),01/23-05/13,MCG 117
20896,EDP,654,A,4,Counseling Practicum,T,04:00 pm-06:40 pm,Erin A. Harper (P),01/23-05/13,MCG 119
82506,EDP,655,A,3,Theory and Problems,,TBA,William John Boone (P),01/23-05/13,TBA
72296,EDP,656,A,3,Educ/Ind/Exceptionalities,R,01:00 pm-03:40 pm,Michael Francis Woodin (P),01/23-05/13,MCG 317
81770,EDP,660,A,4,Prac In School Psychology Prct,W,04:00 pm-06:40 pm,Raymond Witte (P),01/23-05/13,MCG 317
20898,EDP,662,A,3,Social-Emotional Assessment,W,06:00 pm-08:40 pm,Amy C. Van Strien (P),01/23-05/13,MCG 311
81771,EDP,669,A,3,Qualitative Research in EDP,,TBA,James David Swartz (P),01/23-05/13,WEB
81769,EDP,690,UA,3,Seminar In Ed Psy,R,04:30 pm-07:30 pm,Thomas L. Goodney (P),03/27-05/13,OFF
81772,EDP,695D,A,1,Spvsd Pub Sch Exp/Sch Psy Stu,M,05:00 pm-05:55 pm,Michael Francis Woodin (P),01/23-05/13,MCG 317
81773,EDP,796,A,7,Sup Field Experience In Edp,,TBA,Amity Lynn Noltemeyer (P),01/23-05/13,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
76309,ECE,102,A,3,Computing and Engineering,TR,04:00 pm-04:55 pm,Jeffrey D. Herdtner (P),01/23-05/13,EGB 270
,,,,,,T,02:00 pm-03:50 pm,TBA,01/23-05/13,EGB 268
76312,ECE,102,B,3,Computing and Engineering,TR,04:00 pm-04:55 pm,Jeffrey D. Herdtner (P),01/23-05/13,EGB 270
,,,,,,R,10:00 am-11:50 am,TBA,01/23-05/13,EGB 268
76314,ECE,102,C,3,Computing and Engineering,TR,04:00 pm-04:55 pm,Jeffrey D. Herdtner (P),01/23-05/13,EGB 270
,,,,,,R,12:00 pm-01:50 pm,TBA,01/23-05/13,EGB 268
76318,ECE,102,D,3,Computing and Engineering,TR,04:00 pm-04:55 pm,Jeffrey D. Herdtner (P),01/23-05/13,EGB 270
,,,,,,R,02:00 pm-03:50 pm,TBA,01/23-05/13,EGB 268
69728,ECE,205,A,4,Electric Circuit Analysis - I,MW,08:30 am-09:50 am,AKM Jahangir Alam Majumder (P),01/23-05/13,KRG 319
,,,,,,R,08:00 am-09:50 am,TBA,01/23-05/13,GAR 149
62511,ECE,205,B,4,Electric Circuit Analysis - I,MW,08:30 am-09:50 am,AKM Jahangir Alam Majumder (P),01/23-05/13,KRG 319
,,,,,,R,10:00 am-11:50 am,TBA,01/23-05/13,GAR 149
63265,ECE,205,C,4,Electric Circuit Analysis - I,MW,08:30 am-09:50 am,AKM Jahangir Alam Majumder (P),01/23-05/13,KRG 319
,,,,,,R,02:00 pm-03:50 pm,TBA,01/23-05/13,GAR 149
63989,ECE,205,D,4,Electric Circuit Analysis - I,MW,02:30 pm-03:50 pm,AKM Jahangir Alam Majumder (P),01/23-05/13,GAR 156
,,,,,,T,02:00 pm-03:50 pm,TBA,01/23-05/13,GAR 149
79276,ECE,205,E,4,Electric Circuit Analysis - I,MW,02:30 pm-03:50 pm,AKM Jahangir Alam Majumder (P),01/23-05/13,GAR 156
,,,,,,T,04:00 pm-05:50 pm,TBA,01/23-05/13,GAR 149
81777,ECE,289,A,3,Computer Organization,WF,04:00 pm-05:20 pm,Peter Andrew Jamieson (P),01/23-05/13,GAR 156
72791,ECE,291,A,3,Energy Systems Engineering,MWF,10:00 am-10:55 am,Vincent C. Hand (P),01/23-05/13,BEN 100
62504,ECE,303,A,3,Computer-Aided Experimentation,MW,01:00 pm-01:55 pm,Sudhir Shrestha (P),01/23-05/13,KRG 221
,,,,,,R,10:00 am-11:50 am,TBA,01/23-05/13,GAR 141
62505,ECE,303,B,3,Computer-Aided Experimentation,MW,01:00 pm-01:55 pm,Sudhir Shrestha (P),01/23-05/13,KRG 221
,,,,,,R,02:00 pm-03:50 pm,TBA,01/23-05/13,GAR 141
74617,ECE,303,C,3,Computer-Aided Experimentation,MW,01:00 pm-01:55 pm,Sudhir Shrestha (P),01/23-05/13,KRG 221
,,,,,,R,04:00 pm-05:50 pm,TBA,01/23-05/13,GAR 141
75413,ECE,303,D,3,Computer-Aided Experimentation,MW,02:30 pm-03:25 pm,Sudhir Shrestha (P),01/23-05/13,EGB 270
,,,,,,T,12:00 pm-01:50 pm,TBA,01/23-05/13,GAR 141
77892,ECE,303,E,3,Computer-Aided Experimentation,MW,02:30 pm-03:25 pm,Sudhir Shrestha (P),01/23-05/13,EGB 270
,,,,,,T,10:00 am-11:50 am,TBA,01/23-05/13,GAR 141
76295,ECE,303,F,3,Computer-Aided Experimentation,MW,02:30 pm-03:25 pm,Sudhir Shrestha (P),01/23-05/13,EGB 270
,,,,,,T,02:00 pm-03:50 pm,TBA,01/23-05/13,GAR 141
81781,ECE,306,A,3,Signals and Systems,MW,04:00 pm-05:20 pm,Donald R. Ucci (P),01/23-05/13,BEN 100
81798,ECE,340,B,0.000-20.000,Internship,TBA,,TBA,01/23-05/13,TBA
74646,ECE,387,A,4,Embedded Systems Design,WF,02:30 pm-03:50 pm,Yamuna Rajasekhar (P),01/23-05/13,HRN 304
,,,,,,R,10:00 am-11:50 am,TBA,01/23-05/13,EGB 267
74648,ECE,387,B,4,Embedded Systems Design,WF,02:30 pm-03:50 pm,Yamuna Rajasekhar (P),01/23-05/13,HRN 304
,,,,,,R,12:00 pm-01:50 pm,TBA,01/23-05/13,EGB 267
74650,ECE,387,C,4,Embedded Systems Design,WF,02:30 pm-03:50 pm,Yamuna Rajasekhar (P),01/23-05/13,HRN 304
,,,,,,R,02:00 pm-03:50 pm,TBA,01/23-05/13,EGB 267
65383,ECE,425,A,3,Digital Signal Processing,MW,11:30 am-12:50 pm,Chi-Hao Cheng (P),01/23-05/13,GAR 156
72789,ECE,426,A,3,Biomedical Signal Analysis,MW,10:00 am-11:20 am,Qihou Zhou (P),01/23-05/13,GAR 156
81783,ECE,430,A,3,EM in Sensing & Communications,MWF,08:30 am-09:25 am,Dmitriy Garmatyuk (P),01/23-05/13,GAR 156
62506,ECE,436,A,3,Control of Dynamic Systems,MWF,04:00 pm-04:55 pm,Timothy Martyn Cameron (P),01/23-05/13,EGB 270
,,,,,,T,08:00 am-09:50 am,James Robert Chagdes,01/23-05/13,GAR 141
