CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
67621,ART,188H,H A,H,3,Hst Of West Art/Renais-Modern,M,04:00 pm-06:50 pm,Lori L. Parks (P),08/29-12/10,REN 203
,,,,,,,M,05:00 pm-07:00 pm,Lori L. Parks,12/12-12/12,REN 203
67619,ART,188H,H B,H,3,Hst Of West Art/Renais-Modern,TR,11:30 am-12:50 pm,Lori L. Parks (P),08/29-12/10,WCC 200
,,,,,,,R,10:15 am-12:15 pm,Lori L. Parks,12/15-12/15,WCC 200
66313,ART,188L,LTA,L,3,Hst Of West Art/Renais-Lux,M,01:45 pm-03:00 pm,Claudine Bechet-Metz (P),08/29-10/28,CHA
,,,,,,,W,03:30 pm-04:45 pm,Claudine Bechet-Metz,08/29-10/28,CHA
,,,,,,,F,10:45 am-12:00 pm,Claudine Bechet-Metz,08/29-10/28,CHA
54676,ART,189,A,O,3,History Of Western Dress,MW,10:00 am-11:20 am,Lisa Bess Martin-Stuart (P),08/29-12/10,ART 136
,,,,,,,W,10:15 am-12:15 pm,Lisa Bess Martin-Stuart,12/14-12/14,ART 136
70498,ART,189,B,O,3,History Of Western Dress,TR,08:30 am-09:50 am,Melanie Gail Mortimore (P),08/29-12/10,ART 136
,,,,,,,R,08:00 am-10:00 am,Melanie Gail Mortimore,12/15-12/15,ART 136
57709,ART,195,A,O,3,Introduction to Art Education,TR,10:00 am-11:20 am,Stephanie Danker (P),08/29-12/10,ART 148
,,,,,,,T,10:15 am-12:15 pm,Stephanie Danker,12/13-12/13,ART 148
59325,ART,221,A,O,3,Drawing III,MWF,10:00 am-11:50 am,Michael Stillion (P),08/29-12/10,ART 221
,,,,,,,W,10:15 am-12:15 pm,Michael Stillion,12/14-12/14,ART 221
10279,ART,221,B,O,3,Drawing III,TR,05:30 pm-08:15 pm,Daniel L. Bonham (P),08/29-12/10,ART 221
,,,,,,,T,05:30 pm-07:30 pm,Daniel L. Bonham,12/13-12/13,ART 221
17786,ART,221,H A,H,3,Drawing III,TR,08:30 am-11:20 am,Jennifer V. Purdum (P),08/29-12/10,NTH 124
,,,,,,,T,08:00 am-10:00 am,Jennifer V. Purdum,12/13-12/13,NTH 124
59326,ART,222,A,O,3,Drawing IV,MWF,10:00 am-11:50 am,Michael Stillion (P),08/29-12/10,ART 221
,,,,,,,W,10:15 am-12:15 pm,Michael Stillion,12/14-12/14,ART 221
10281,ART,222,B,O,3,Drawing IV,TR,05:30 pm-08:15 pm,Daniel L. Bonham (P),08/29-12/10,ART 221
,,,,,,,T,05:30 pm-07:30 pm,Daniel L. Bonham,12/13-12/13,ART 221
15835,ART,222,H A,H,3,Drawing IV,TR,08:30 am-11:20 am,Jennifer V. Purdum (P),08/29-12/10,NTH 124
,,,,,,,T,08:00 am-10:00 am,Jennifer V. Purdum,12/13-12/13,NTH 124
10282,ART,231,A,O,3,Painting I,MWF,02:00 pm-03:50 pm,Michael Stillion (P),08/29-12/10,ART 245
,,,,,,,M,12:45 pm-02:45 pm,Michael Stillion,12/12-12/12,ART 245
10283,ART,231,B,O,3,Painting I,TR,11:30 am-02:15 pm,Matthew Wayne Litteken (P),08/29-12/10,ART 245
,,,,,,,R,12:45 pm-02:45 pm,Matthew Wayne Litteken,12/15-12/15,ART 245
12898,ART,231,H A,H,3,Painting I,TR,01:00 pm-03:50 pm,Jennifer V. Purdum (P),08/29-12/10,REN 303
,,,,,,,R,12:30 pm-02:30 pm,Jennifer V. Purdum,12/15-12/15,REN 303
69699,ART,233,A,O,3,Global Perspectives on Dress,F,11:30 am-12:50 pm,Trina Gannon (P),08/29-12/10,ART 103
,,,,,,,W,12:45 pm-02:45 pm,Trina Gannon,12/14-12/14,ART 103
63833,ART,241,A,O,3,Printmaking I,MWF,10:00 am-11:50 am,Ellen J. Price (P),08/29-12/10,HIS 125
,,,,,,,W,10:15 am-12:15 pm,Ellen J. Price,12/14-12/14,HIS 125
69304,ART,241,B,O,3,Printmaking I,TR,02:30 pm-05:15 pm,Ellen J. Price (P),08/29-12/10,HIS 125
,,,,,,,R,03:00 pm-05:00 pm,Ellen J. Price,12/15-12/15,HIS 125
10285,ART,251,A,O,3,Typography,TR,08:30 am-11:15 am,Ray Anthony Claxton (P),08/29-12/10,HIS 218
,,,,,,,R,08:00 am-10:00 am,Ray Anthony Claxton,12/15-12/15,HIS 218
59333,ART,252,A,O,3,Image,MWF,12:00 pm-01:50 pm,Ryan Carlson Bitzegaio (P),08/29-12/10,HIS 218
,,,,,,,W,12:45 pm-02:45 pm,Ryan Carlson Bitzegaio,12/14-12/14,HIS 218
57727,ART,255,A,O,3,Introduction: Digital Imaging,TR,11:30 am-02:15 pm,Casey James Wilson (P),08/29-12/10,ART 017
,,,,,,,R,12:45 pm-02:45 pm,Casey James Wilson,12/15-12/15,ART 017
69306,ART,255,B,O,3,Introduction: Digital Imaging,MWF,08:00 am-09:50 am,Casey James Wilson (P),08/29-12/10,ART 017
,,,,,,,F,08:00 am-10:00 am,Casey James Wilson,12/16-12/16,ART 017
66034,ART,256,H A,H,3,"Design, Perception & Audience",TR,10:00 am-11:20 am,Elijah Van Benschoten (P),08/29-12/10,REN 312
,,,,,,,T,10:15 am-12:15 pm,Elijah Van Benschoten,12/13-12/13,REN 312
64217,ART,256,M A,M,3,"Design, Perception & Audience",,TBA,Bernard Andrew Au (P),08/29-12/10,WEB
60976,ART,256,M B,M,3,"Design, Perception & Audience",,TBA,Katelyn Suzanne Rowekamp (P),08/29-12/10,WEB
69189,ART,256,M C,M,3,"Design, Perception & Audience",,TBA,Katelyn Suzanne Rowekamp (P),08/29-12/10,WEB
65734,ART,257,A,O,3,Photography I,MWF,02:00 pm-03:50 pm,Jon M. Yamashiro (P),08/29-12/10,ART 017
,,,,,,,M,12:45 pm-02:45 pm,Jon M. Yamashiro,12/12-12/12,ART 017
10288,ART,257,B,O,3,Photography I,TR,02:30 pm-05:15 pm,Ron Stevens (P),08/29-12/10,ART 017
,,,,,,,R,03:00 pm-05:00 pm,Ron Stevens,12/15-12/15,ART 017
66923,ART,257,H A,H,3,Photography I,MW,04:00 pm-06:50 pm,Rachel Girard Reisert (P),08/29-12/10,REN 305
,,,,,,,W,02:45 pm-04:45 pm,Rachel Girard Reisert,12/14-12/14,REN 305
58542,ART,259,A,O,3,Art and Digital Tools I,T,05:30 pm-06:50 pm,"Mark Angelo Cela (P), Neal Aaron Brown",08/29-12/10,ART 100
,,,,,,,R,05:30 pm-06:50 pm,TBA,08/29-12/10,ART 136
,,,,,,,T,07:45 pm-09:45 pm,Mark Angelo Cela,12/13-12/13,ART 100
70530,ART,259,B,O,3,Art and Digital Tools I,TR,05:30 pm-06:50 pm,"Sherri Ann Krazl (P), Kristin M. Kieffer",08/29-12/10,HUG 100
,,,,,,,T,05:30 pm-07:30 pm,Sherri Ann Krazl,12/13-12/13,HUG 100
10289,ART,261,A,O,3,Ceramics I,MWF,10:00 am-11:50 am,Dennis E. Tobin (P),08/29-12/10,HIS 027
,,,,,,,W,10:15 am-12:15 pm,Dennis E. Tobin,12/14-12/14,HIS 027
68051,ART,261,B,O,3,Ceramics I,MWF,02:00 pm-03:50 pm,Dennis E. Tobin (P),08/29-12/10,HIS 027
,,,,,,,M,12:45 pm-02:45 pm,Dennis E. Tobin,12/12-12/12,HIS 027
10291,ART,264,A,O,3,Jewelry Design & Metals I,TR,02:30 pm-05:15 pm,Vanessa Katherine Sliger (P),08/29-12/10,HIS 002
,,,,,,,R,03:00 pm-05:00 pm,Vanessa Katherine Sliger,12/15-12/15,HIS 002
10292,ART,264,B,O,3,Jewelry Design & Metals I,MW,06:00 pm-08:45 pm,Vanessa Katherine Sliger (P),08/29-12/10,HIS 002
,,,,,,,W,05:30 pm-07:30 pm,Vanessa Katherine Sliger,12/14-12/14,HIS 002
59324,ART,271,A,O,3,Sculpture I,MWF,10:00 am-11:50 am,Rodney W. Northcutt (P),08/29-12/10,HIS 023
,,,,,,,W,10:15 am-12:15 pm,Rodney W. Northcutt,12/14-12/14,HIS 023
59327,ART,281,A,O,1,Contemporary Art Forum,R,05:30 pm-06:45 pm,Tracy Elizabeth Featherstone (P),08/29-12/10,ART 100
,,,,,,,R,07:45 pm-09:45 pm,Tracy Elizabeth Featherstone,12/15-12/15,ART 100
67582,ART,286,A,O,3,"China, Korea, Japan",MWF,08:30 am-09:25 am,Michael James Hatch (P),08/29-12/10,ART 100
,,,,,,,F,08:00 am-10:00 am,Michael James Hatch,12/16-12/16,ART 100
70510,ART,286,B,O,3,"China, Korea, Japan",MWF,11:30 am-12:25 pm,Michael James Hatch (P),08/29-12/10,ART 136
,,,,,,,W,12:45 pm-02:45 pm,Michael James Hatch,12/14-12/14,ART 136
61103,ART,295,A,O,3,Elementary Art Methods,TR,11:30 am-12:50 pm,Stephanie Danker (P),08/29-12/10,ART 148
,,,,,,,R,12:45 pm-02:45 pm,Stephanie Danker,12/15-12/15,ART 148
69310,ART,316,A,O,3,Baroque Art in Europe,MWF,01:00 pm-01:55 pm,Andrew R. Casper (P),08/29-12/10,ART 103
,,,,,,,M,12:45 pm-02:45 pm,Andrew R. Casper,12/12-12/12,ART 103
69311,ART,320B,A,O,3,Advanced Drawing,TR,11:30 am-02:15 pm,Daniel L. Bonham (P),08/29-12/10,ART 221
,,,,,,,R,12:45 pm-02:45 pm,Daniel L. Bonham,12/15-12/15,ART 221
70315,ART,320B,H A,H,3,Advanced Drawing,TR,08:30 am-11:20 am,Jennifer V. Purdum (P),08/29-12/10,NTH 124
,,,,,,,T,08:00 am-10:00 am,Jennifer V. Purdum,12/13-12/13,NTH 124
69312,ART,320C,A,O,3,Experimental Media,MW,04:00 pm-06:45 pm,Joomi Chung (P),08/29-12/10,ART 022
,,,,,,,W,03:00 pm-05:00 pm,Joomi Chung,12/14-12/14,ART 022
10301,ART,331,A,O,3,Painting II,TR,08:30 am-11:15 am,Dana Saulnier (P),08/29-12/10,ART 245
,,,,,,,R,08:00 am-10:00 am,Dana Saulnier,12/15-12/15,ART 245
53423,ART,331,H A,H,3,Painting II,TR,01:00 pm-03:50 pm,Jennifer V. Purdum (P),08/29-12/10,REN 303
,,,,,,,R,12:30 pm-02:30 pm,Jennifer V. Purdum,12/15-12/15,REN 303
10302,ART,332,A,O,3,Painting III,TR,08:30 am-11:15 am,Dana Saulnier (P),08/29-12/10,ART 245
,,,,,,,R,08:00 am-10:00 am,Dana Saulnier,12/15-12/15,ART 245
69322,ART,335,A,O,3,Arts of West Africa,TR,11:30 am-12:50 pm,Jordan A. Fenton (P),08/29-12/10,ART 103
,,,,,,,R,12:45 pm-02:45 pm,Jordan A. Fenton,12/15-12/15,ART 103
10303,ART,341,A,O,3,Printmaking II,MWF,12:00 pm-01:50 pm,Ellen J. Price (P),08/29-12/10,HIS 119
,,,,,,,W,12:45 pm-02:45 pm,Ellen J. Price,12/14-12/14,HIS 119
10304,ART,342,A,O,3,Printmaking III,MWF,12:00 pm-01:50 pm,Ellen J. Price (P),08/29-12/10,HIS 119
,,,,,,,W,12:45 pm-02:45 pm,Ellen J. Price,12/14-12/14,HIS 119
67578,ART,343,A,O,3,The Art of Visual Presentation,TR,08:30 am-11:15 am,Bryant David Thomas (P),08/29-12/10,ART 017
,,,,,,,R,08:00 am-10:00 am,Bryant David Thomas,12/15-12/15,ART 017
67579,ART,344,A,O,3,Personal Branding,TR,05:30 pm-08:15 pm,Andrea Del Pilar Mateus Forero (P),08/29-12/10,ART 017
,,,,,,,T,05:30 pm-07:30 pm,Andrea Del Pilar Mateus Forero,12/13-12/13,ART 017
69323,ART,345,A,O,3,Graphic Design Prototyping,MWF,10:00 am-11:50 am,Alison L. Place (P),08/29-12/10,ART 017
,,,,,,,W,10:15 am-12:15 pm,Alison L. Place,12/14-12/14,ART 017
69324,ART,345,B,O,3,Graphic Design Prototyping,MW,05:30 pm-08:15 pm,Ryan Carlson Bitzegaio (P),08/29-12/10,ART 017
,,,,,,,W,05:30 pm-07:30 pm,Ryan Carlson Bitzegaio,12/14-12/14,ART 017
10305,ART,351,A,O,3,Design Systems,TR,02:30 pm-05:15 pm,Erin Marie Beckloff (P),08/29-12/10,HIS 218
,,,,,,,R,03:00 pm-05:00 pm,Erin Marie Beckloff,12/15-12/15,HIS 218
52802,ART,353,A,O,3,The Business of Design,MW,07:00 pm-08:15 pm,Jonah Otchy (P),08/29-12/10,ART 136
,,,,,,,W,05:30 pm-07:30 pm,Jonah Otchy,12/14-12/14,ART 136
52803,ART,355,A,O,3,Applied Interaction Design,MWF,02:00 pm-03:50 pm,Ryan Carlson Bitzegaio (P),08/29-12/10,HIS 218
,,,,,,,M,12:45 pm-02:45 pm,Ryan Carlson Bitzegaio,12/12-12/12,HIS 218
10307,ART,357,B,O,3,Photography II,MWF,12:00 pm-01:50 pm,Jon M. Yamashiro (P),08/29-12/10,ART 017
,,,,,,,W,12:45 pm-02:45 pm,Jon M. Yamashiro,12/14-12/14,ART 017
10309,ART,361,A,O,3,Ceramics II,TR,05:30 pm-08:15 pm,Dennis E. Tobin (P),08/29-12/10,HIS 027
,,,,,,,T,05:30 pm-07:30 pm,Dennis E. Tobin,12/13-12/13,HIS 027
10310,ART,362,A,O,3,Ceramics III,TR,05:30 pm-08:15 pm,Dennis E. Tobin (P),08/29-12/10,HIS 027
,,,,,,,T,05:30 pm-07:30 pm,Dennis E. Tobin,12/13-12/13,HIS 027
10311,ART,364,A,O,3,Jewelry Design And Metals II,TR,11:30 am-02:15 pm,Geoffrey William Riggle (P),08/29-12/10,HIS 002
,,,,,,,R,12:45 pm-02:45 pm,Geoffrey William Riggle,12/15-12/15,HIS 002
10312,ART,365,A,O,3,Jewelry Design & Metals III,TR,11:30 am-02:15 pm,Geoffrey William Riggle (P),08/29-12/10,HIS 002
,,,,,,,R,12:45 pm-02:45 pm,Geoffrey William Riggle,12/15-12/15,HIS 002
10313,ART,371,A,O,3,Sculpture II,TR,05:30 pm-08:15 pm,Rodney W. Northcutt (P),08/29-12/10,HIS 023
,,,,,,,T,05:30 pm-07:30 pm,Rodney W. Northcutt,12/13-12/13,HIS 023
10314,ART,372,A,O,3,Sculpture III,TR,05:30 pm-08:15 pm,Rodney W. Northcutt (P),08/29-12/10,HIS 023
,,,,,,,T,05:30 pm-07:30 pm,Rodney W. Northcutt,12/13-12/13,HIS 023
65728,ART,395,A,O,3,Art Across the Curriculum,WF,12:30 pm-01:50 pm,Stephanie Danker (P),08/29-12/10,ART 148
,,,,,,,W,12:45 pm-02:45 pm,Stephanie Danker,12/14-12/14,ART 148
53514,ART,419,A,O,16,Supervsd Stdt Teaching in Art,W,04:15 pm-05:15 pm,Amy Marie Pace (P),08/29-12/10,ART 154
,,,,,,,W,03:00 pm-05:00 pm,Amy Marie Pace,12/14-12/14,ART 154
10319,ART,431,A,O,3,Painting IV,TR,02:30 pm-05:15 pm,Dana Saulnier (P),08/29-12/10,ART 237
,,,,,,,R,03:00 pm-05:00 pm,Dana Saulnier,12/15-12/15,ART 237
10320,ART,432,A,O,3,Painting V,TR,02:30 pm-05:15 pm,Dana Saulnier (P),08/29-12/10,ART 237
,,,,,,,R,03:00 pm-05:00 pm,Dana Saulnier,12/15-12/15,ART 237
10321,ART,441,A,O,3,Printmaking IV,MWF,12:00 pm-01:50 pm,Ellen J. Price (P),08/29-12/10,HIS 119
,,,,,,,W,12:45 pm-02:45 pm,Ellen J. Price,12/14-12/14,HIS 119
15068,ART,442,A,O,3,Printmaking V,MWF,12:00 pm-01:50 pm,Ellen J. Price (P),08/29-12/10,HIS 119
,,,,,,,W,12:45 pm-02:45 pm,Ellen J. Price,12/14-12/14,HIS 119
61844,ART,450,A,O,3,Alternative Design Media,TR,05:30 pm-08:15 pm,Erin Marie Beckloff (P),08/29-12/10,HIS 215
,,,,,,,T,05:30 pm-07:30 pm,Erin Marie Beckloff,12/13-12/13,HIS 215
53354,ART,451,A,O,3,The Professional Portfolio,TR,11:30 am-02:15 pm,Ray Anthony Claxton (P),08/29-12/10,HIS 218
,,,,,,,R,12:45 pm-02:45 pm,Ray Anthony Claxton,12/15-12/15,HIS 218
10322,ART,453,A,O,4,Highwire Brand Studio,MW,10:00 am-11:50 am,Ray Anthony Claxton (P),08/29-12/10,HIS 218
,,,,,,,W,10:15 am-12:15 pm,Ray Anthony Claxton,12/14-12/14,HIS 218
62371,ART,453H,A,O,4,Highwire Brand Studio,MW,10:00 am-11:50 am,Ray Anthony Claxton (P),08/29-12/10,HIS 218
,,,,,,,W,10:15 am-12:15 pm,Ray Anthony Claxton,12/14-12/14,HIS 218
15070,ART,457,A,O,3,Photography IV,MW,04:00 pm-06:45 pm,Jon M. Yamashiro (P),08/29-12/10,ART 020
,,,,,,,W,03:00 pm-05:00 pm,Jon M. Yamashiro,12/14-12/14,ART 020
10324,ART,458,A,O,3,Photography V,MW,04:00 pm-06:45 pm,Jon M. Yamashiro (P),08/29-12/10,ART 020
,,,,,,,W,03:00 pm-05:00 pm,Jon M. Yamashiro,12/14-12/14,ART 020
10325,ART,461,A,O,3,Ceramics IV,TR,05:30 pm-08:15 pm,Dennis E. Tobin (P),08/29-12/10,HIS 027
,,,,,,,T,05:30 pm-07:30 pm,Dennis E. Tobin,12/13-12/13,HIS 027
10326,ART,462,A,O,3,Ceramics V,TR,05:30 pm-08:15 pm,Dennis E. Tobin (P),08/29-12/10,HIS 027
,,,,,,,T,05:30 pm-07:30 pm,Dennis E. Tobin,12/13-12/13,HIS 027
13972,ART,464,A,O,3,Jewelry Design & Metals IV,TR,11:30 am-02:15 pm,Geoffrey William Riggle (P),08/29-12/10,HIS 002
,,,,,,,R,12:45 pm-02:45 pm,Geoffrey William Riggle,12/15-12/15,HIS 002
10327,ART,471,A,O,3,Sculpture IV,TR,05:30 pm-08:15 pm,Rodney W. Northcutt (P),08/29-12/10,HIS 023
,,,,,,,T,05:30 pm-07:30 pm,Rodney W. Northcutt,12/13-12/13,HIS 023
10328,ART,472,A,O,3,Sculpture V,TR,05:30 pm-08:15 pm,Rodney W. Northcutt (P),08/29-12/10,HIS 023
,,,,,,,T,05:30 pm-07:30 pm,Rodney W. Northcutt,12/13-12/13,HIS 023
69339,ART,487,A,O,3,Art Of The Early 20th Century,TR,10:00 am-11:20 am,Pepper Stetler (P),08/29-12/10,ART 103
,,,,,,,T,10:15 am-12:15 pm,Pepper Stetler,12/13-12/13,ART 103
69011,ART,490,A,O,1.000-3.000,Supplemental Problems,,TBA,Geoffrey William Riggle (P),08/29-12/10,TBA
10334,ART,492,A,O,3,Portfolio And Exhibition Exper,TR,01:00 pm-02:20 pm,Ann E. Taulbee (P),08/29-12/10,ART 136
,,,,,,,T,12:45 pm-02:45 pm,Ann E. Taulbee,12/13-12/13,ART 136
60108,ART,495,A,O,3,Art Education Practicum,TR,04:00 pm-05:20 pm,Amy Marie Pace (P),08/29-12/10,ART 148
,,,,,,,T,03:00 pm-05:00 pm,Amy Marie Pace,12/13-12/13,ART 148
57733,ART,496,A,O,3,Theory for Visual Artists,W,06:00 pm-08:40 pm,Dana Saulnier (P),08/29-12/10,ART 220
,,,,,,,W,07:45 pm-09:45 pm,Dana Saulnier,12/14-12/14,ART 220
63896,ART,498,A,O,3,Sem:Art Hst & Mthds Of Art Hst,TR,01:00 pm-02:20 pm,Pepper Stetler (P),08/29-12/10,ART 103
,,,,,,,T,12:45 pm-02:45 pm,Pepper Stetler,12/13-12/13,ART 103
60488,ART,531,A,O,3,Painting IV,TR,02:30 pm-05:15 pm,Dana Saulnier (P),08/29-12/10,ART 237
,,,,,,,R,03:00 pm-05:00 pm,Dana Saulnier,12/15-12/15,ART 237
63906,ART,532,A,O,3,Painting V,TR,02:30 pm-05:15 pm,Dana Saulnier (P),08/29-12/10,ART 237
,,,,,,,R,03:00 pm-05:00 pm,Dana Saulnier,12/15-12/15,ART 237
14254,ART,541,A,O,3,Printmaking IV,MWF,12:00 pm-01:50 pm,Ellen J. Price (P),08/29-12/10,HIS 119
,,,,,,,W,12:45 pm-02:45 pm,Ellen J. Price,12/14-12/14,HIS 119
10337,ART,561,A,O,3,Ceramics IV,TR,05:30 pm-08:15 pm,Dennis E. Tobin (P),08/29-12/10,HIS 027
,,,,,,,T,05:30 pm-07:30 pm,Dennis E. Tobin,12/13-12/13,HIS 027
53910,ART,562,A,O,3,Ceramics V,TR,05:30 pm-08:15 pm,Dennis E. Tobin (P),08/29-12/10,HIS 027
,,,,,,,T,05:30 pm-07:30 pm,Dennis E. Tobin,12/13-12/13,HIS 027
10339,ART,564,A,O,3,Jewelry Design & Metals IV,TR,11:30 am-02:15 pm,Geoffrey William Riggle (P),08/29-12/10,HIS 002
,,,,,,,R,12:45 pm-02:45 pm,Geoffrey William Riggle,12/15-12/15,HIS 002
10340,ART,571,A,O,3,Sculpture IV,TR,05:30 pm-08:15 pm,Rodney W. Northcutt (P),08/29-12/10,HIS 023
,,,,,,,T,05:30 pm-07:30 pm,Rodney W. Northcutt,12/13-12/13,HIS 023
50967,ART,572,A,O,3,Sculpture V,TR,05:30 pm-08:15 pm,Rodney W. Northcutt (P),08/29-12/10,HIS 023
,,,,,,,T,05:30 pm-07:30 pm,Rodney W. Northcutt,12/13-12/13,HIS 023
69340,ART,587,A,O,3,Art Of The Early 20th Century,TR,10:00 am-11:20 am,Pepper Stetler (P),08/29-12/10,ART 103
,,,,,,,T,10:15 am-12:15 pm,Pepper Stetler,12/13-12/13,ART 103
57734,ART,596,A,O,3,Theory for Visual Artists,W,06:00 pm-08:40 pm,Dana Saulnier (P),08/29-12/10,ART 220
,,,,,,,W,07:45 pm-09:45 pm,Dana Saulnier,12/14-12/14,ART 220
67116,ART,600,A,O,1.000-3.000,Advanced Research Problems,,TBA,Mark Harald Jensen (P),08/29-12/10,HIS
10344,ART,601,A,O,3,Teaching Assistant Seminar,M,05:30 pm-08:10 pm,Robert Wilbur Mullenix (P),08/29-12/10,ART 220
,,,,,,,M,07:45 pm-09:45 pm,Robert Wilbur Mullenix,12/12-12/12,ART 220
58919,ART,630,A,O,3.000-6.000,Graduate Study in Painting,,TBA,Michael Stillion (P),08/29-12/10,TBA
58925,ART,630,B,O,3.000-6.000,Graduate Study in Painting,TR,02:30 pm-05:15 pm,Dana Saulnier (P),08/29-12/10,ART 237
,,,,,,,R,03:00 pm-05:00 pm,Dana Saulnier,12/15-12/15,ART 237
58926,ART,630,C,O,3.000-6.000,Graduate Study in Painting,,TBA,Joomi Chung (P),08/29-12/10,TBA
57146,ART,630,D,O,3.000-6.000,Graduate Study in Painting,,TBA,Matthew Wayne Litteken (P),08/29-12/10,TBA
59035,ART,630,E,O,3.000-6.000,Graduate Study in Painting,,TBA,Tracy Elizabeth Featherstone (P),08/29-12/10,TBA
59097,ART,630,F,O,3.000-6.000,Graduate Study in Painting,,TBA,Mark Harald Jensen (P),08/29-12/17,TBA
58927,ART,640,A,O,3.000-6.000,Graduate Study in Printmaking,MWF,12:00 pm-01:50 pm,Ellen J. Price (P),08/29-12/10,HIS 119
,,,,,,,W,12:45 pm-02:45 pm,Ellen J. Price,12/14-12/14,HIS 119
58928,ART,640,B,O,3.000-6.000,Graduate Study in Printmaking,,TBA,Mark Harald Jensen (P),08/29-12/10,ART
67182,ART,650,A,O,3.000-6.000,Grad Study: Experience Design,MW,12:00 pm-05:30 pm,Dennis Matthew Cheatham (P),08/29-12/10,HIS 221
,,,,,,,W,12:45 pm-02:45 pm,Dennis Matthew Cheatham,12/14-12/14,HIS 221
67577,ART,651,A,O,3,Systems Design,TR,02:30 pm-03:50 pm,Dennis Matthew Cheatham (P),08/29-12/10,HIS 220
,,,,,,,R,03:00 pm-05:00 pm,Dennis Matthew Cheatham,12/15-12/15,HIS 220
59037,ART,660,A,O,3.000-6.000,Graduate Study in Ceramics,TR,05:30 pm-08:15 pm,Dennis E. Tobin (P),08/29-12/10,HIS 027
,,,,,,,T,05:30 pm-07:30 pm,Dennis E. Tobin,12/13-12/13,HIS 027
58929,ART,664,A,O,3.000-6.000,Graduate Study In Metals,TR,11:30 am-02:15 pm,Geoffrey William Riggle (P),08/29-12/10,HIS 002
,,,,,,,R,12:45 pm-02:45 pm,Geoffrey William Riggle,12/15-12/15,HIS 002
59036,ART,670,A,O,3.000-6.000,Graduate Study in Sculpture,TR,05:30 pm-08:15 pm,Rodney W. Northcutt (P),08/29-12/10,HIS 023
,,,,,,,T,05:30 pm-07:30 pm,Rodney W. Northcutt,12/13-12/13,HIS 023
69341,ART,680,A,O,3,Graduate Sem In Art History,T,06:00 pm-08:40 pm,Ann Boehling Dell'Aria (P),08/29-12/10,ART 220
,,,,,,,T,07:45 pm-09:45 pm,Ann Boehling Dell'Aria,12/13-12/13,ART 220
58989,ART,690,A,O,1.000-3.000,Special Problems,,TBA,Ellen J. Price (P),08/29-12/10,TBA
70732,ART,690,B,O,1.000-3.000,Special Problems,,TBA,Larry Winston Collins (P),08/29-12/10,TBA
70771,ART,690,C,O,1.000-3.000,Special Problems,,TBA,Rodney W. Northcutt (P),08/29-12/10,TBA
,,,,,,,,,,,
CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
66799,AAA,201,B,O,3,Intro to Asian/ Asian Amer,MWF,01:00 pm-01:55 pm,Winona Lillian Landis (P),08/29-12/10,PBD 021
,,,,,,,M,12:45 pm-02:45 pm,Winona Lillian Landis,12/12-12/12,PBD 021
63318,AAA,201,C,O,3,Intro to Asian/ Asian Amer,TR,10:00 am-11:20 am,Maki Smith (P),08/29-12/10,MMH 212
,,,,,,,T,10:15 am-12:15 pm,Maki Smith,12/13-12/13,MMH 212
68193,AAA,201,D,O,3,Intro to Asian/ Asian Amer,TR,11:30 am-12:50 pm,Maki Smith (P),08/29-12/10,MMH 212
,,,,,,,R,12:45 pm-02:45 pm,Maki Smith,12/15-12/15,MMH 212
66801,AAA,207,B,O,3,Asia and Globalization,TR,11:30 am-12:50 pm,Nalin Asoka Jayasena (P),08/29-12/10,BAC 346
,,,,,,,R,12:45 pm-02:45 pm,Nalin Asoka Jayasena,12/15-12/15,BAC 346
66543,AAA,207,M A,M,3,Asia and Globalization,W,07:00 pm-09:50 pm,Wenxi Liu (P),08/29-12/10,JHN 018
,,,,,,,W,07:15 pm-09:15 pm,Wenxi Liu,12/14-12/14,JHN 018
68753,AAA,207,M B,M,3,Asia and Globalization,MW,10:00 am-11:20 am,Wenxi Liu (P),08/29-12/10,JHN 111
,,,,,,,M,10:15 am-12:15 pm,Wenxi Liu,12/12-12/12,JHN 111
66263,AAA,210,A,O,3,Psychology Across Cultures,MW,04:00 pm-05:20 pm,Vrinda Kalia (P),08/29-12/10,PSYC 204
,,,,,,,W,03:00 pm-05:00 pm,Vrinda Kalia,12/14-12/14,PSYC 204
68165,AAA,210,B,O,3,Psychology Across Cultures,TR,01:00 pm-02:20 pm,Deborah L. Wiese (P),08/29-12/10,PSYC 127
,,,,,,,T,12:45 pm-02:45 pm,Deborah L. Wiese,12/13-12/13,PSYC 127
70476,AAA,210,C,O,3,Psychology Across Cultures,MW,02:30 pm-03:50 pm,Vrinda Kalia (P),08/29-12/10,PSYC 204
,,,,,,,M,03:00 pm-05:00 pm,Vrinda Kalia,12/12-12/12,PSYC 204
64649,AAA,211,A,O,3,Writing with Purpose,MWF,10:00 am-10:55 am,Nicolyn V Woodcock (P),08/29-12/10,UPH 209
,,,,,,,W,10:15 am-12:15 pm,Nicolyn V Woodcock,12/14-12/14,UPH 209
69943,AAA,248,H A,H,3,Asian American Literature,TR,05:30 pm-06:50 pm,Madhudaya Sinha (P),08/29-12/10,MOS 208
,,,,,,,T,05:00 pm-07:00 pm,Madhudaya Sinha,12/13-12/13,MOS 208
