CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
20761,EDL,204,B,3,Sociocultural Studies In Educ,R,04:25 pm-07:05 pm,Kate Rousmaniere (P),01/29-05/19,MCG 416,Intercultural Perspectives and FND - Humanities and Thematic Sequence
84030,EDL,204,C,3,Sociocultural Studies In Educ,TR,10:05 am-11:25 am,Kate Rousmaniere (P),01/29-05/19,TBA,Intercultural Perspectives and FND - Humanities and Thematic Sequence
64452,EDL,204,D,3,Sociocultural Studies In Educ,TR,08:30 am-09:50 am,Kate Rousmaniere (P),01/29-05/19,MCG 222,Intercultural Perspectives and FND - Humanities and Thematic Sequence
84031,EDL,204,E,3,Sociocultural Studies In Educ,MW,02:50 pm-04:10 pm,Kate Rousmaniere (P),01/29-05/19,TBA,Intercultural Perspectives and FND - Humanities and Thematic Sequence
65248,EDL,204,F,3,Sociocultural Studies In Educ,MWF,01:15 pm-02:10 pm,Kate Rousmaniere (P),01/29-05/19,MCG 215,Intercultural Perspectives and FND - Humanities and Thematic Sequence
69693,EDL,204,G,3,Sociocultural Studies In Educ,MWF,01:15 pm-02:10 pm,Kate Rousmaniere (P),01/29-05/19,FSB 1036,Intercultural Perspectives and FND - Humanities and Thematic Sequence
20764,EDL,204,I,3,Sociocultural Studies In Educ,MWF,01:15 pm-02:10 pm,Kate Rousmaniere (P),01/29-05/19,MCG 225,Intercultural Perspectives and FND - Humanities and Thematic Sequence
84032,EDL,204,K,3,Sociocultural Studies In Educ,M,04:25 pm-07:05 pm,Kate Rousmaniere (P),01/29-05/19,TBA,Intercultural Perspectives and FND - Humanities and Thematic Sequence
81678,EDL,218,A,3,Leadership Development,T,10:05 am-11:25 am,Eric F. Buller (P),01/29-05/19,MCG 118,Hybrid (Partially Online)
74787,EDL,232,A,3,Intro to Community Leadership,WF,11:40 am-01:00 pm,Dianne C. Suiter (P),01/29-05/19,MCG 122,FND - Social Science
78530,EDL,290O,A,2,Exploration of Leadership,MW,01:15 pm-02:05 pm,Bethany Taylor MacMillan (P),01/29-05/19,MCG 224,
78531,EDL,290O,B,2,Exploration of Leadership,TR,01:15 pm-02:05 pm,Jeremy Seth Bragg (P),01/29-05/19,MCG 416,
76934,EDL,290O,C,2,Exploration of Leadership,MW,02:50 pm-03:40 pm,Jeremy Seth Bragg (P); Aidyn Lee Scott,01/29-05/19,MCG 224,
76932,EDL,290S,A,2,Group Leadership: Student Orgs,T,02:30 pm-04:10 pm,Jeremy Seth Bragg (P),01/29-05/19,MCG 224,
83063,EDL,290T,A,2,Tabletop Games & Leadership,R,06:00 pm-07:50 pm,Jeremy Seth Bragg (P); Bethany Taylor MacMillan,01/29-05/19,MCG 215,
83069,EDL,290T,B,2,Tabletop Games & Leadership,W,06:00 pm-07:50 pm,Aidyn Lee Scott (P),01/29-05/19,MCG 215,
83167,EDL,312,A,3,Education in Global Contexts,T,04:25 pm-07:05 pm,Thomas J. Misco (P),01/29-05/19,MCG 416,
25735,EDL,318A,A,3,Teacher Ldrshp:Adolescent Educ,T,04:25 pm-07:05 pm,Thomas S. Poetter (P),01/29-05/19,MCG 117,
25736,EDL,318A,B,3,Teacher Ldrshp:Adolescent Educ,W,04:25 pm-07:05 pm,Thomas S. Poetter (P),01/29-05/19,MCG 117,
25729,EDL,318E,A,3,Teacher Ldrshp:Early Childhood,R,02:50 pm-05:30 pm,Thomas S. Poetter (P),01/29-05/19,MCG 117,
69696,EDL,318E,B,3,Teacher Ldrshp:Early Childhood,R,11:40 am-02:20 pm,Thomas S. Poetter (P),01/29-05/19,MCG 118,
69697,EDL,318E,C,3,Teacher Ldrshp:Early Childhood,R,08:30 am-11:10 am,Thomas S. Poetter (P),01/29-05/19,MCG 118,
75776,EDL,318M,B,3,Teacher Leadrshp/Mid Childhood,TR,10:05 am-11:25 am,Thomas S. Poetter (P),01/29-05/19,MCG 121,
83173,EDL,333,A,3,Media; Youth & Urban Education,TR,02:50 pm-04:10 pm,Durell Maurice Callier (P),01/29-05/19,MCG 416,
83960,EDL,383,A,3,Serv in Urban Communities II,F,01:15 pm-05:15 pm,Denise Marie Baszile (P),01/29-05/19,MCG 416,
75725,EDL,464,A,3,Community-Based Leadership,MW,11:40 am-01:00 pm,Michael Pier Evans (P),01/29-05/19,MCG 218,
82306,EDL,621,A,3,Foundatns Multiculturlal Educ,T,07:15 pm-09:45 pm,Durell Maurice Callier (P),01/29-05/19,MCG 117,
83072,EDL,624,A,3,Ethics and Values in Education,M,04:25 pm-07:30 pm,Kathleen Knight Abowitz (P),01/29-05/19,TBA,
83299,EDL,630B,A,2,Connect Sch Ldshp to Standards,M,04:30 pm-06:30 pm,Kathleen Mecoli (P),01/29-05/19,OFF,
83302,EDL,630B,B,2,Connect Sch Ldshp to Standards,,TBA,Kathleen Mecoli (P),01/29-05/19,OFF,
83633,EDL,646,A,3,Curr Developmnt For Instructn,W,04:30 pm-07:25 pm,Andrew M. Smith (P),01/29-05/19,MCG 311,
75859,EDL,656G,A,4,Field Experience Exploration,T,10:05 am-12:45 pm,Natasha Turman (P),01/29-05/19,MCG,
75857,EDL,656I,A,3,Field Experience Synthesis,M,10:05 am-12:45 pm,David Perez (P),01/29-05/19,MCG 119,
75858,EDL,656I,B,3,Field Experience Synthesis,M,01:15 pm-03:55 pm,David Perez (P),01/29-05/19,MCG 422,
77163,EDL,660D,A,1,Critical Thinking in Writing,W,08:30 am-09:30 am,Christina Rene' Carrubba-Whetstine (P),01/29-05/19,MCG 119,
83289,EDL,661,A,3,Quantitative Research in HE,R,04:25 pm-07:05 pm,Kathleen Marie Goodman (P),01/29-05/19,MCG 122,
83284,EDL,672,A,3,Intergroup Dialogue,R,10:05 am-12:45 pm,Stephen John Quaye (P),01/29-05/19,TBA,
84058,EDL,675,A,3,Student Development Theory I,T,01:15 pm-03:55 pm,Elisa S. Abes (P),01/29-05/19,TBA,
83287,EDL,685,A,3,Spirituality and Leadership,W,04:25 pm-07:05 pm,Kathleen Marie Goodman (P),01/29-05/19,MCG 225,
79420,EDL,706,B,3,Educational Ldrshp&Orgnztn Dev,T,04:25 pm-07:05 pm,Natasha Turman (P),01/29-05/19,MCG 311,
83300,EDL,725,A,2,Staff Personnel Administration,M,06:30 pm-08:30 pm,Mary Helen Moorhead (P),01/29-05/19,OFF,
83295,EDL,745,A,3,Higher Ed Learning Contexts,M,04:25 pm-07:05 pm,David Perez (P),01/29-05/19,MCG 223,
81755,EDL,764,A,3,Education Democratic Society,W,07:15 pm-09:45 pm,Kate Rousmaniere (P),01/29-05/19,MCG 117,
83407,EDL,765,A,3,Curric; Pedag; Diversity,R,04:30 pm-07:30 pm,Thomas S. Poetter (P),01/29-05/19,OFF,Hybrid (Partially Online)
80426,EDL,765,B,3,Curric; Pedag; Diversity,W,04:25 pm-07:05 pm,Denise Marie Baszile (P),01/29-05/19,MCG 316,
78283,EDL,775,A,3,Capstone in Ed Inquiry,T,07:15 pm-09:40 pm,Lisa D. Weems (P),01/29-05/19,WEB,Online Course/DistanceLearning
83414,EDL,780G,A,3,Teacher Policy,T,04:25 pm-07:05 pm,Andrew Michael Saultz (P),01/29-05/19,TBA,
66662,EDL,780W,A,3,Adv Sem: Cultural Studies,W,04:25 pm-07:05 pm,Lisa D. Weems (P),01/29-05/19,MCG 218,
,,,,,,,,,,,
,,,,,,,,,,,
79332,EDP,101,B,3,Psychology Of The Learner,TR,01:15 pm-02:35 pm,Darrel Raymond Davis (P),01/29-05/19,HRN 012,CASC - Social Science and FND - Social Science
20834,EDP,201,A,3,Human Dvlpmnt&Learng/Ed Envir,TR,10:05 am-11:25 am,TBA,01/29-05/19,HRN 111,CASC - Social Science and Hybrid (Partially Online) and FND - Social Science and Service Learning and Top 25
20835,EDP,201,B,3,Human Dvlpmnt&Learng/Ed Envir,TR,11:40 am-01:00 pm,TBA,01/29-05/19,HRN 111,CASC - Social Science and Hybrid (Partially Online) and FND - Social Science and Service Learning and Top 25
20836,EDP,201,C,3,Human Dvlpmnt&Learng/Ed Envir,MW,10:05 am-11:25 am,TBA,01/29-05/19,HRN 012,CASC - Social Science and FND - Social Science and Service Learning and Top 25
20837,EDP,201,D,3,Human Dvlpmnt&Learng/Ed Envir,MW,11:40 am-01:00 pm,TBA,01/29-05/19,HRN 204,CASC - Social Science and Hybrid (Partially Online) and FND - Social Science and Service Learning and Top 25
80527,EDP,201,WA,3,Human Dvlpmnt&Learng/Ed Envir,TR,04:25 pm-06:45 pm,Darrel Raymond Davis (P),03/12-05/19,MCG 217,CASC - Social Science and FND - Social Science and Top 25
77764,EDP,256,A,3,Psy/Learners With Exception,MF,11:40 am-01:00 pm,Cheri L. Bryant (P),01/29-05/19,MCG 415,FND - Social Science and Thematic Sequence
66648,EDP,256,B,3,Psy/Learners With Exception,TR,10:05 am-11:25 am,Molly D. Kelly (P),01/29-05/19,SHD 053,FND - Social Science and Thematic Sequence
77765,EDP,256,C,3,Psy/Learners With Exception,T,06:30 pm-09:10 pm,Lori Elizabeth Brown (P),01/29-05/19,HRN 012,FND - Social Science and Thematic Sequence
79335,EDP,272,B,3,Intro to Disability Studies,MW,11:40 am-01:00 pm,Molly D. Kelly (P),01/29-05/19,MCG 121,CASC - Social Science and Intercultural Perspectives and FND - Social Science and Thematic Sequence
80471,EDP,272,C,3,Intro to Disability Studies,MW,01:15 pm-02:35 pm,Molly D. Kelly (P),01/29-05/19,MCG 418,CASC - Social Science and Intercultural Perspectives and FND - Social Science and Thematic Sequence
81567,EDP,272,D,3,Intro to Disability Studies,W,06:30 pm-09:10 pm,Mark William O'Hara (P),01/29-05/19,MCG 121,CASC - Social Science and Intercultural Perspectives and FND - Social Science and Thematic Sequence
82492,EDP,272,E,3,Intro to Disability Studies,T,06:30 pm-09:10 pm,Daniel Clark Darkow (P),01/29-05/19,MCG 121,CASC - Social Science and Intercultural Perspectives and FND - Social Science and Thematic Sequence
73498,EDP,272H,A,3,Intro to Disability Studies,WF,01:15 pm-02:35 pm,Ashley Elizabeth Johnson (P),01/29-05/19,MCG 121,Cultures and Honors Course and FND - Social Science and FND - US Cultures and Thematic Sequence
71502,EDP,279,A,3,Tech + Media Lit and Learning,,TBA,Michele D. Dickey (P),01/29-05/19,WEB,FND - Social Science and Online Course/DistanceLearning and Thematic Sequence
72239,EDP,279,B,3,Tech + Media Lit and Learning,,TBA,James David Swartz (P),01/29-05/19,WEB,FND - Social Science and Online Course/DistanceLearning and Thematic Sequence
72904,EDP,279,C,3,Tech + Media Lit and Learning,,TBA,James David Swartz (P),01/29-05/19,WEB,FND - Social Science and Online Course/DistanceLearning and Thematic Sequence
72906,EDP,279,D,3,Tech + Media Lit and Learning,,TBA,Jason T. Abbitt (P),01/29-05/19,WEB,FND - Social Science and Online Course/DistanceLearning and Thematic Sequence
64174,EDP,301A,B,3,Assesst & Eval In Ed Settings,MW,01:15 pm-02:35 pm,Jane Ann Lance (P),01/29-05/19,MCG 122,
83611,EDP,324,WA,3,Research & Applied Writing,TR,02:50 pm-04:10 pm,Joseph Earl Schroer (P),03/12-05/19,MCG 121,Advanced Writing
76075,EDP,351,A,1,Miami Connections Mentoring,F,02:50 pm-04:10 pm,Leah Hope Wasburn-Moses (P),01/29-05/19,MCG 118,Service Learning
82225,EDP,375,A,3,Allies and Activists,MW,10:05 am-11:25 am,Elisa S. Abes (P),01/29-05/19,MCG 121,CASC - Social Science and Intercultural Perspectives
83256,EDP,387,A,3,Chinese Educ. through Culture,,TBA,Aimin Wang (P),01/29-05/19,TBA,
20858,EDP,419F,A,15,Sup Tchg: Mild/Moderate,,TBA,Amy L. Emery (P),01/29-05/19,TBA,
25909,EDP,432,A,3,Assess&Edu Plan/Chld Age 3-8,MW,01:15 pm-02:35 pm,Joseph Earl Schroer (P),01/29-05/19,MCG 223,
61356,EDP,432,B,3,Assess&Edu Plan/Chld Age 3-8,MW,02:50 pm-04:10 pm,Joseph Earl Schroer (P),01/29-05/19,MCG 223,
83214,EDP,432,C,3,Assess&Edu Plan/Chld Age 3-8,MW,11:40 am-01:00 pm,Joseph Earl Schroer (P),01/29-05/19,MCG 223,
83215,EDP,447,A,3,eLearning in K-12 Education,,TBA,Jason T. Abbitt (P),01/29-05/19,WEB,Online Course/DistanceLearning and Thematic Sequence
81592,EDP,458,A,3,Moderate Intensive Methods,WF,11:40 am-01:00 pm,Ashley Elizabeth Johnson (P),01/29-05/19,MCG 418,
69669,EDP,459,A,3,Practicum in Special Education,TR,10:05 am-11:25 am,Leah Hope Wasburn-Moses (P),01/29-05/19,MCG 215,
81597,EDP,459G,A,3,Prac: Moderate/Intensive Sp Ed,TR,10:05 am-11:25 am,Ashley Elizabeth Johnson (P),01/29-05/19,MCG 221,
83217,EDP,460,A,3,Research Sem/Exc Ed Devel Diff,TR,02:30 pm-03:50 pm,Sarah Jean Watt (P),01/29-05/19,MCG 317,Senior Capstone
20871,EDP,478,A,3,Social Skills & Collaboration,TR,01:15 pm-02:35 pm,Molly D. Kelly (P),01/29-05/19,MCG 223,
81730,EDP,483,A,3,Serious & Educ. Game Desgn&Sim,,TBA,Michele D. Dickey (P),01/29-05/19,WEB,Online Course/DistanceLearning
83219,EDP,484,A,3,Autism: Social & Communication,,TBA,Laura Nancy Sigler (P),01/29-05/19,WEB,Online Course/DistanceLearning
82397,EDP,486,A,3,Methods I,WF,10:05 am-11:25 am,Sarah Jean Watt (P),01/29-05/19,MCG 221,
83228,EDP,489,A,3,Disability Glob/Local Contexts,T,06:30 pm-09:10 pm,TBA,01/29-05/19,MCG 224,Intercultural Perspectives and Senior Capstone
20875,EDP,494,A,3,Assessment/Eval Except Lrners,MW,02:50 pm-04:10 pm,Jane Ann Lance (P),01/29-05/19,MCG 117,
71913,EDP,495E,A,3,Incl/Adp:Mild/Mod/Gift Erl Ch,MW,11:40 am-01:00 pm,Katherine Rae Mezher (P),01/29-05/19,MCG 224,
68326,EDP,495E,B,3,Incl/Adp:Mild/Mod/Gift Erl Ch,MW,01:15 pm-02:35 pm,Katherine Rae Mezher (P),01/29-05/19,MCG 416,
83239,EDP,495E,C,3,Incl/Adp:Mild/Mod/Gift Erl Ch,MW,02:50 pm-04:10 pm,Katherine Rae Mezher (P),01/29-05/19,MCG 226,
20877,EDP,496,A,3,Behav Intervtn:Thry/Princ/Tech,WF,10:05 am-11:25 am,Leah Hope Wasburn-Moses (P),01/29-05/19,MCG 416,
61357,EDP,532,B,3,Assess&Edu Plan/Chld Age 3-8,MW,02:50 pm-04:10 pm,Joseph Earl Schroer (P),01/29-05/19,MCG 223,
83216,EDP,547,A,3,eLearning in K-12 Education,,TBA,Jason T. Abbitt (P),01/29-05/19,WEB,Online Course/DistanceLearning
69670,EDP,559,A,3,Practicum in Special Education,TR,10:05 am-11:25 am,Leah Hope Wasburn-Moses (P),01/29-05/19,MCG 215,
20884,EDP,578,A,3,ocial Skills & Collaboration,TR,01:15 pm-02:35 pm,Molly D. Kelly (P),01/29-05/19,MCG 223,
81731,EDP,583,A,3,Serious & Educ. Game Desgn&Sim,,TBA,Michele D. Dickey (P),01/29-05/19,WEB,Online Course/DistanceLearning
83227,EDP,584,A,3,Autism: Social & Communication,,TBA,Laura Nancy Sigler (P),01/29-05/19,WEB,Online Course/DistanceLearning
20887,EDP,594,A,3,Assessment/Eval Except Lrners,MW,02:50 pm-04:10 pm,Jane Ann Lance (P),01/29-05/19,MCG 117,
20889,EDP,596,A,3,Behav Intervtn:Thry/Princ/Tech,WF,10:05 am-11:25 am,Leah Hope Wasburn-Moses (P),01/29-05/19,MCG 416,
20891,EDP,611,A,5,Psychoeduc Assess&Intervent I,M,01:15 pm-03:45 pm,Michael Francis Woodin (P),01/29-05/19,MCG 311,
,,,,,,W,01:15 pm-02:45 pm,TBA,01/29-05/19,MCG 311,
82058,EDP,637,A,3,Distance Learning,,TBA,Michele D. Dickey (P),01/29-05/19,WEB,Online Course/DistanceLearning
28016,EDP,650,A,3,Seminar In Special Education,R,04:25 pm-07:05 pm,TBA,01/29-05/19,MCG 119,
76114,EDP,651,A,3,Educational Research,M,04:25 pm-07:05 pm,Aimin Wang (P),01/29-05/19,MCG 117,
20896,EDP,654,A,4,Counseling Practicum,T,04:25 pm-07:05 pm,Mona Aloaha Burts-Beatty (P),01/29-05/19,MCG 119,
72296,EDP,656,A,3,Educ/Ind/Exceptionalities,W,04:25 pm-07:05 pm,Michael Francis Woodin (P),01/29-05/19,MCG 223,
81770,EDP,660,A,4,Prac In School Psychology Prct,W,04:25 pm-07:05 pm,Kristy Brann (P),01/29-05/19,MCG 317,
20898,EDP,662,A,3,Social-Emotional Assessment,R,01:15 pm-03:55 pm,Kristy Brann (P),01/29-05/19,MCG 311,
81771,EDP,669,A,3,Qualitative Research in EDP,,TBA,James David Swartz (P),01/29-05/19,WEB,Online Course/DistanceLearning
81772,EDP,695D,A,1,Spvsd Pub Sch Exp/Sch Psy Stu,M,04:25 pm-05:20 pm,Michael Francis Woodin (P),01/29-05/19,MCG 317,
81773,EDP,796,A,7,Sup Field Experience In Edp,,TBA,Amity Lynn Noltemeyer (P),01/29-05/19,TBA,
,,,,,,,,,,,
,,,,,,,,,,,
76309,ECE,102,A,3,Computing and Engineering,TR,04:25 pm-05:10 pm,Jeffrey D. Herdtner (P),01/29-05/19,EGB 270,
,,,,,,T,02:15 pm-04:05 pm,TBA,01/29-05/19,EGB 268,
76312,ECE,102,B,3,Computing and Engineering,TR,04:25 pm-05:10 pm,Jeffrey D. Herdtner (P),01/29-05/19,EGB 270,
,,,,,,R,10:05 am-11:55 am,TBA,01/29-05/19,EGB 268,
76314,ECE,102,C,3,Computing and Engineering,TR,04:25 pm-05:10 pm,Jeffrey D. Herdtner (P),01/29-05/19,EGB 270,
,,,,,,R,12:10 pm-02:00 pm,TBA,01/29-05/19,EGB 268,
76318,ECE,102,D,3,Computing and Engineering,TR,04:25 pm-05:10 pm,Jeffrey D. Herdtner (P),01/29-05/19,EGB 270,
,,,,,,R,02:15 pm-04:05 pm,TBA,01/29-05/19,EGB 268,
69728,ECE,205,A,4,Electric Circuit Analysis - I,MW,08:30 am-09:50 am,AKM Jahangir Alam Majumder (P),01/29-05/19,FSB 0032,
,,,,,,R,08:00 am-09:50 am,TBA,01/29-05/19,GAR 149,
62511,ECE,205,B,4,Electric Circuit Analysis - I,MW,08:30 am-09:50 am,AKM Jahangir Alam Majumder (P),01/29-05/19,FSB 0032,
,,,,,,R,10:05 am-11:55 am,TBA,01/29-05/19,GAR 149,
63265,ECE,205,C,4,Electric Circuit Analysis - I,MW,08:30 am-09:50 am,AKM Jahangir Alam Majumder (P),01/29-05/19,FSB 0032,
,,,,,,R,02:15 pm-04:05 pm,TBA,01/29-05/19,GAR 149,
63989,ECE,205,D,4,Electric Circuit Analysis - I,MW,02:50 pm-04:10 pm,Chi-Hao Cheng (P),01/29-05/19,GAR 156,
,,,,,,T,02:15 pm-04:05 pm,TBA,01/29-05/19,GAR 149,
79276,ECE,205,E,4,Electric Circuit Analysis - I,MW,02:50 pm-04:10 pm,Chi-Hao Cheng (P),01/29-05/19,GAR 156,
,,,,,,T,04:25 pm-06:15 pm,TBA,01/29-05/19,GAR 149,
81777,ECE,289,A,3,Computer Organization,WF,04:25 pm-05:45 pm,AKM Jahangir Alam Majumder (P),01/29-05/19,GAR 156,
72791,ECE,291,A,3,Energy Systems Engineering,MW,10:05 am-11:25 am,Padmakar M. Niskode (P),01/29-05/19,BEN 100,
62504,ECE,303,A,3,Computer-Aided Experimentation,WF,01:15 pm-02:10 pm,David Hartup (P),01/29-05/19,HUG 315,
,,,,,,R,10:05 am-11:55 am,TBA,01/29-05/19,GAR 141,
62505,ECE,303,B,3,Computer-Aided Experimentation,WF,01:15 pm-02:10 pm,David Hartup (P),01/29-05/19,HUG 315,
,,,,,,R,02:15 pm-04:05 pm,TBA,01/29-05/19,GAR 141,
74617,ECE,303,C,3,Computer-Aided Experimentation,WF,01:15 pm-02:10 pm,David Hartup (P),01/29-05/19,HUG 315,
,,,,,,R,04:25 pm-06:15 pm,TBA,01/29-05/19,GAR 141,
75413,ECE,303,D,3,Computer-Aided Experimentation,T,12:10 pm-02:00 pm,TBA,01/29-05/19,GAR 141,
,,,,,,WF,02:50 pm-03:45 pm,David Hartup (P),01/29-05/19,EGB 270,
77892,ECE,303,E,3,Computer-Aided Experimentation,T,10:05 am-11:55 am,TBA,01/29-05/19,GAR 141,
,,,,,,WF,02:50 pm-03:45 pm,David Hartup (P),01/29-05/19,EGB 270,
76295,ECE,303,F,3,Computer-Aided Experimentation,T,02:15 pm-04:05 pm,TBA,01/29-05/19,GAR 141,
,,,,,,WF,02:50 pm-03:45 pm,David Hartup (P),01/29-05/19,EGB 270,
81781,ECE,306,A,3,Signals and Systems,MW,11:40 am-01:00 pm,Donald R. Ucci (P),01/29-05/19,BEN 100,
81798,ECE,340,B,0.000-20.000,Internship,MW,08:30 am-10:30 am,Qihou Zhou (P),01/29-05/19,TBA,
74646,ECE,387,A,4,Embedded Systems Design,WF,02:50 pm-04:10 pm,Yamuna Rajasekhar (P),01/29-05/19,HRN 304,
,,,,,,R,10:05 am-11:55 am,TBA,01/29-05/19,EGB 267,
74648,ECE,387,B,4,Embedded Systems Design,WF,02:50 pm-04:10 pm,Yamuna Rajasekhar (P),01/29-05/19,HRN 304,
,,,,,,R,12:10 pm-02:00 pm,Yamuna Rajasekhar,01/29-05/19,EGB 267,
74650,ECE,387,C,4,Embedded Systems Design,WF,02:50 pm-04:10 pm,Yamuna Rajasekhar (P),01/29-05/19,HRN 304,
,,,,,,R,02:15 pm-04:05 pm,Yamuna Rajasekhar,01/29-05/19,EGB 267,
65383,ECE,425,A,3,Digital Signal Processing,MW,11:40 am-01:00 pm,Chi-Hao Cheng (P),01/29-05/19,GAR 156,
72789,ECE,426,A,3,Biomedical Signal Analysis,MW,10:05 am-11:25 am,Qihou Zhou (P),01/29-05/19,GAR 156,
81783,ECE,430,A,3,EM in Sensing & Communications,MWF,01:15 pm-02:10 pm,Dmitriy Garmatyuk (P),01/29-05/19,BEN 207,
62506,ECE,436,A,3,Control of Dynamic Systems,MWF,04:25 pm-05:10 pm,Donald R. Ucci (P),01/29-05/19,EGB 270,
,,,,,,T,08:00 am-09:50 am,Timothy Martyn Cameron,01/29-05/19,GAR 141,
64255,ECE,436,B,3,Control of Dynamic Systems,MWF,04:25 pm-05:10 pm,Donald R. Ucci (P),01/29-05/19,EGB 270,
,,,,,,R,12:10 pm-02:00 pm,Zhijiang Ye,01/29-05/19,GAR 141,
74061,ECE,436,C,3,Control of Dynamic Systems,MWF,04:25 pm-05:10 pm,Donald R. Ucci (P),01/29-05/19,EGB 270,
,,,,,,R,08:00 am-09:50 am,Timothy Martyn Cameron,01/29-05/19,GAR 141,
79517,ECE,436,D,3,Control of Dynamic Systems,MWF,04:25 pm-05:10 pm,Donald R. Ucci (P),01/29-05/19,EGB 270,
,,,,,,R,08:00 am-09:50 am,Jeffrey L. Peterson,01/29-05/19,EGB 168,
80648,ECE,436,E,3,Control of Dynamic Systems,MWF,04:25 pm-05:10 pm,Donald R. Ucci (P),01/29-05/19,EGB 270,
,,,,,,R,02:15 pm-04:05 pm,Jeffrey L. Peterson,01/29-05/19,EGB 168,
68377,ECE,448,A,2,Senior Design Project,T,04:25 pm-05:45 pm,Dmitriy Garmatyuk (P),01/29-05/19,GAR 156,Senior Capstone
62508,ECE,449,A,2,Senior Design Project,T,04:25 pm-05:45 pm,Dmitriy Garmatyuk (P),01/29-05/19,GAR 156,Senior Capstone
81788,ECE,461,A,3,Network Performance Analysis,TR,02:50 pm-04:10 pm,Gokhan Sahin (P),01/29-05/19,BEN 207,
79278,ECE,493,A,3,Power Electronics,WF,02:50 pm-03:45 pm,Mark John Scott (P),01/29-05/19,GAR 153,
,,,,,,R,10:05 am-11:55 am,Mark John Scott,01/29-05/19,EGB 175,
80265,ECE,493,B,3,Power Electronics,WF,02:50 pm-03:45 pm,Mark John Scott (P),01/29-05/19,GAR 153,
,,,,,,R,12:10 pm-02:00 pm,Mark John Scott,01/29-05/19,EGB 175,
79279,ECE,593,A,3,Power Electronics,WF,02:50 pm-03:45 pm,Mark John Scott (P),01/29-05/19,GAR 153,
,,,,,,R,10:05 am-11:55 am,Mark John Scott,01/29-05/19,EGB 175,
80301,ECE,593,B,3,Power Electronics,WF,02:50 pm-03:45 pm,Mark John Scott (P),01/29-05/19,GAR 153,
,,,,,,R,12:10 pm-02:00 pm,Mark John Scott,01/29-05/19,EGB 175,
72254,ECE,610,A,1,Graduate Seminar,W,04:25 pm-05:10 pm,Kumar Vikram Singh (P),01/29-05/19,BEN 115,
,,,,,,,,,,,
,,,,,,,,,,,
77689,EGM,411,A,3,Leading and Managing Projects,W,06:30 pm-09:10 pm,TBA,01/29-05/19,HUG 325B,
78739,EGM,511,A,3,Leading and Managing Projects,W,06:30 pm-09:10 pm,TBA,01/29-05/19,HUG 325B,
,,,,,,,,,,,
,,,,,,,,,,,
73800,ENG,108,AA,4,U.S. Cult & Comp L2 Writers,MW,08:00 am-09:50 am,TBA,01/29-05/19,BAC 250,FND - Global Course
68766,ENG,108,AB,4,U.S. Cult & Comp L2 Writers,TR,08:00 am-09:50 am,Cher Cornett Uhl (P),01/29-05/19,BAC 154,FND - Global Course
75557,ENG,108,BA,4,U.S. Cult & Comp L2 Writers,MWF,08:30 am-09:45 am,TBA,01/29-05/19,BAC 108,FND - Global Course
80394,ENG,108,BB,4,U.S. Cult & Comp L2 Writers,MWF,08:30 am-09:45 am,TBA,01/29-05/19,UPH 163,FND - Global Course
80162,ENG,108,CA,4,U.S. Cult & Comp L2 Writers,MWF,10:05 am-11:20 am,TBA,01/29-05/19,MMH 115,FND - Global Course
80390,ENG,108,CB,4,U.S. Cult & Comp L2 Writers,MWF,10:05 am-11:20 am,TBA,01/29-05/19,BAC 108,FND - Global Course
78701,ENG,108,CC,4,U.S. Cult & Comp L2 Writers,MWF,10:05 am-11:20 am,TBA,01/29-05/19,MCG 317,FND - Global Course
70921,ENG,108,CD,4,U.S. Cult & Comp L2 Writers,MWF,10:05 am-11:20 am,TBA,01/29-05/19,UPH 343,FND - Global Course
80163,ENG,108,EA,4,U.S. Cult & Comp L2 Writers,MTWR,11:40 am-12:35 pm,TBA,01/29-05/19,UPH 235,FND - Global Course
78700,ENG,108,EB,4,U.S. Cult & Comp L2 Writers,MWF,11:40 am-12:55 pm,TBA,01/29-05/19,MCG 317,FND - Global Course
80388,ENG,108,EC,4,U.S. Cult & Comp L2 Writers,MWF,11:40 am-12:55 pm,TBA,01/29-05/19,HUG 004,FND - Global Course
80392,ENG,108,EE,4,U.S. Cult & Comp L2 Writers,MWF,11:40 am-12:55 pm,TBA,01/29-05/19,PBD 029,FND - Global Course
77124,ENG,108,GA,4,U.S. Cult & Comp L2 Writers,MWF,01:15 pm-02:30 pm,TBA,01/29-05/19,BAC 138,FND - Global Course
79698,ENG,108,GB,4,U.S. Cult & Comp L2 Writers,MWF,01:15 pm-02:30 pm,TBA,01/29-05/19,PBD 024,FND - Global Course
69381,ENG,108,KA,4,U.S. Cult & Comp L2 Writers,MWF,02:50 pm-04:05 pm,TBA,01/29-05/19,PBD 024,FND - Global Course
79869,ENG,108,KB,4,U.S. Cult & Comp L2 Writers,MWF,02:50 pm-04:05 pm,TBA,01/29-05/19,UPH 131,FND - Global Course
79870,ENG,108,QA,4,U.S. Cult & Comp L2 Writers,MW,04:25 pm-06:15 pm,TBA,01/29-05/19,UPH 209,FND - Global Course
78989,ENG,108,QB,4,U.S. Cult & Comp L2 Writers,MW,04:25 pm-06:15 pm,Cher Cornett Uhl (P),01/29-05/19,BAC 256,FND - Global Course
