CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
78187,ACC,453,D,3,Financial Statement Auditing,TR,04:25 pm-05:45 pm,Jonathan Stanley Pyzoha (P),01/29-05/19,FSB 0027,Bus Course for Surcharge
83197,ACC,495,A,3,Accounting Analysis,MW,02:50 pm-04:10 pm,Michael Dale Stoel (P),01/29-05/19,FSB 0028,Bus Course for Surcharge and Senior Capstone
83182,ACC,522,A,3,Financial Accounting Research,MW,04:25 pm-05:45 pm,Timothy Vance Eaton (P),01/29-05/19,FSB 0027,Bus Course for Surcharge
81837,ACC,522,C,3,Financial Accounting Research,MW,02:50 pm-04:10 pm,Timothy Vance Eaton (P),01/29-05/19,FSB 0027,Bus Course for Surcharge
72820,ACC,622,A,3,Info Business Valuation Decn,TR,08:30 am-09:50 am,Matthew Michael Wieland (P),01/29-05/19,FSB 0031,Bus Course for Surcharge
83198,ACC,622,B,3,Info Business Valuation Decn,TR,10:05 am-11:25 am,Matthew Michael Wieland (P),01/29-05/19,FSB 0031,Bus Course for Surcharge
80278,ACC,628,A,3,Advanced Financial Accounting,TR,08:30 am-09:50 am,Po-Chang Chen (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
83183,ACC,628,B,3,Advanced Financial Accounting,TR,10:05 am-11:25 am,Po-Chang Chen (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
71418,ACC,650,A,3,Fraud Examination,MW,11:40 am-01:00 pm,Jonathan Hallberg Grenier (P),01/29-05/19,FSB 0020,Bus Course for Surcharge
84048,ACC,650,B,3,Fraud Examination,MW,01:15 pm-02:35 pm,Jonathan Hallberg Grenier (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
79351,ACC,653,A,3,Assurance Services,TR,11:40 am-01:00 pm,Andrew B. Reffett (P),01/29-05/19,FSB 0031,Bus Course for Surcharge
20173,ACC,695,A,3,Integrative Acc Capstone,MW,10:05 am-11:25 am,Dan L. Heitger (P),01/29-05/19,FSB 0028,Bus Course for Surcharge
83184,ACC,695,B,3,Integrative Acc Capstone,MW,11:40 am-01:00 pm,Dan L. Heitger (P),01/29-05/19,FSB 0028,Bus Course for Surcharge and Senior Capstone
,,,,,,,,,,,
20180,AES,111,A,1,Leadership Laboratory,R,04:00 pm-05:55 pm,Marc Edward Gifford (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/29-05/19,MIL 061,
20181,AES,122,A,1,Fndtns of the U.S. Air Force,T,02:50 pm-03:45 pm,Marc Edward Gifford (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/29-05/19,MIL 061,
20182,AES,122,B,1,Fndtns of the U.S. Air Force,R,01:15 pm-02:10 pm,Marc Edward Gifford (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/29-05/19,MIL 061,
20183,AES,211,A,1,Leadership Laboratory,R,04:00 pm-05:55 pm,Marc Edward Gifford (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/29-05/19,MIL 061,
20184,AES,222,A,1,The Development Of Air Power,T,01:15 pm-02:10 pm,Marc Edward Gifford (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/29-05/19,MIL 061,Thematic Sequence
20324,AES,222,B,1,The Development Of Air Power,R,02:50 pm-03:45 pm,Marc Edward Gifford (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/29-05/19,MIL 061,Thematic Sequence
20185,AES,311,A,1,Leadership Laboratory,R,04:00 pm-05:55 pm,Marc Edward Gifford (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/29-05/19,MIL 061,
20186,AES,332,A,3,Aerospace Ldrshp & Management,TR,10:05 am-11:25 am,Jeffrey Thomas Guttman (P); Allison Marie Galford ; Marc Edward Gifford,01/29-05/19,MIL 061,
20187,AES,411,A,1,Leadership Laboratory,R,04:00 pm-05:55 pm,Marc Edward Gifford (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/29-05/19,MIL 061,
20188,AES,432,A,3,National Security Affairs,TR,08:30 am-09:50 am,Allison Marie Galford (P); Marc Edward Gifford ; Jeffrey Thomas Guttman,01/29-05/19,MIL 061,Senior Capstone
,,,,,,,,,,,
78982,ACE,112,C,5,Advanced Comm Strategies,MWF,04:25 pm-05:40 pm,Dale William Ehrlich (P),01/29-05/19,BAC 151,
80226,ACE,212,TA,3,Adv Comm Strategies II,MWF,11:40 am-01:45 pm,Ebru Dirsel Duffield (P),02/05-03/31,BAC 108,
80832,ACE,212,UB,3,Adv Comm Strategies II,MWF,01:15 pm-03:20 pm,Ilknur Eginli (P),04/02-05/19,TBA,
78915,ACE,310G,A,3,Practical English Grammar,MWF,02:50 pm-03:45 pm,Dale William Ehrlich (P),01/29-05/19,BAC 108,
78879,ACE,310G,UA,3,Practical English Grammar,MWF,11:40 am-01:45 pm,Dale William Ehrlich (P),04/02-05/19,BAC 108,
76384,ACE,619,A,2,Adv Speaking and Presenting,MW,01:15 pm-02:10 pm,Jessica Dianna Downey (P),01/29-05/19,BAC 154,
,,,,,,,,,,,
,,,,,,,,,,,
68007,AMS,205,A,3,Intro to American Cultures,TR,10:05 am-11:25 am,Eric Covey (P),01/29-05/19,TBA,CASB - Humanities and Intercultural Perspectives and FND - Humanities
82801,AMS,205,B,3,Intro to American Cultures,WF,11:40 am-01:00 pm,Adam James Richard Thomas (P),01/29-05/19,UPH,CASB - Humanities and Intercultural Perspectives and FND - Humanities
68011,AMS,205,C,3,Intro to American Cultures,WF,08:30 am-09:50 am,Adam James Richard Thomas (P),01/29-05/19,UPH 255,CASB - Humanities and Intercultural Perspectives and FND - Humanities
78075,AMS,205,E,3,Intro to American Cultures,TR,04:25 pm-05:45 pm,Allison Lynn Wanger (P),01/29-05/19,UPH 365,CASB - Humanities and Intercultural Perspectives and FND - Humanities
69745,AMS,205,F,3,Intro to American Cultures,TR,02:50 pm-04:10 pm,Allison Lynn Wanger (P),01/29-05/19,UPH 262,CASB - Humanities and Intercultural Perspectives and FND - Humanities
82802,AMS,205H,A,3,Intro to American Studies,WF,08:30 am-09:50 am,Damon Scott (P),01/29-05/19,TBA,Honors Course and FND - Humanities and FND - US Cultures
68018,AMS,206,A,3,Approaches to American Culture,MW,11:40 am-01:00 pm,Helen Diana Sheumaker (P),01/29-05/19,UPH 312,Advanced Writing
71486,AMS,207,A,3,America: Global-Intercultural,TR,11:40 am-01:00 pm,Oana Godeanu-Kenworthy (P),01/29-05/19,UPH 255,CASB - Humanities and FND - Global Course and Intercultural Perspectives and FND - Humanities and Thematic Sequence
74831,AMS,207,B,3,America: Global-Intercultural,TR,10:05 am-11:25 am,Oana Godeanu-Kenworthy (P),01/29-05/19,UPH 361,CASB - Humanities and FND - Global Course and Intercultural Perspectives and FND - Humanities and Thematic Sequence
74832,AMS,207,C,3,America: Global-Intercultural,TR,01:15 pm-02:35 pm,Eric Covey (P),01/29-05/19,UPH 249,CASB - Humanities and FND - Global Course and Intercultural Perspectives and FND - Humanities and Thematic Sequence
74833,AMS,207,D,3,America: Global-Intercultural,TR,08:30 am-09:50 am,Eric Covey (P),01/29-05/19,UPH 365,CASB - Humanities and FND - Global Course and Intercultural Perspectives and FND - Humanities and Thematic Sequence
78077,AMS,207,E,3,America: Global-Intercultural,WF,02:50 pm-04:10 pm,Adam James Richard Thomas (P),01/29-05/19,UPH,CASB - Humanities and FND - Global Course and Intercultural Perspectives and FND - Humanities and Thematic Sequence
61055,AMS,222,A,3,Italian American Culture,WF,08:30 am-09:50 am,Daniele Fioretti (P),01/29-05/19,IRV 040,CASB - Humanities and Intercultural Perspectives and FND - Humanities
79820,AMS,248,A,3,Asian American Literature,MW,08:30 am-09:50 am,Anita Mannur (P),01/29-05/19,BAC 143,CASB - Humanities and FND - Global Course and Intercultural Perspectives and FND - Humanities
65008,AMS,301,A,3,American Identities,TR,11:40 am-01:00 pm,Sandra Lee Garner (P),01/29-05/19,UPH 389,Intercultural Perspectives and Service Learning and Thematic Sequence
82803,AMS,303,A,3,Consumer Culture,WF,10:05 am-11:25 am,Carolyn Frances Richter Hardin (P),01/29-05/19,TBA,
75759,AMS,304,A,3,History Memory Tradition,MW,01:15 pm-02:35 pm,Helen Diana Sheumaker (P),01/29-05/19,UPH 312,CASB - Humanities
84020,AMS,310U,A,3,A View From Abroad,TR,01:15 pm-02:35 pm,Oana Godeanu-Kenworthy (P),01/29-05/19,UPH 365,
78671,AMS,315,A,3,Latin American Diaspora,MW,02:50 pm-04:10 pm,Joanna Camacho Escobar (P),01/29-05/19,UPH 258,Intercultural Perspectives
82824,AMS,397,A,3,American Environmental History,TR,02:50 pm-04:10 pm,Marguerite S. Shaffer (P),01/29-05/19,UPH 312,CASB - Humanities
82804,AMS,401,A,4,Senior Cap In American Studies,TR,02:50 pm-04:10 pm,Sandra Lee Garner (P),01/29-05/19,UPH 131,Senior Capstone
83162,AMS,433,A,3,Oral Tradition:History & Pract,MW,04:25 pm-05:45 pm,Nishani Frazier (P),01/29-05/19,TBA,CASB - Humanities
,,,,,,,,,,,
76000,ATH,135,UA,1,Film as Ethnography,T,04:25 pm-06:45 pm,Leighton C. Peterson (P),04/02-05/19,LWS 100,CASC - Social Science and FND - Global Course
77594,ATH,145,A,3,Lost Cities/Ancient Civs,TR,08:30 am-09:50 am,Mary Jane Berman (P),01/29-05/19,UPH 275,CASC - Social Science and FND - Global Course and FND - Social Science
83081,ATH,145,C,3,Lost Cities/Ancient Civs,TR,04:25 pm-05:45 pm,Jeb Joseph Card (P),01/29-05/19,UPH 002,CASC - Social Science and FND - Global Course and FND - Social Science
76001,ATH,155,A,3,Introduction to Anthropology,MW,11:40 am-01:00 pm,Clara JoAnn Scarry (P),01/29-05/19,UPH 361,CASC - Social Science and FND - Global Course and FND - Social Science
76003,ATH,175,A,3,Peoples Of The World,WF,02:50 pm-04:10 pm,Giovanni Batz (P),01/29-05/19,UPH 002,CASC - Social Science and FND - Global Course and FND - Social Science and Thematic Sequence
76005,ATH,175,B,3,Peoples Of The World,MW,10:05 am-11:25 am,Neringa Klumbyte (P),01/29-05/19,UPH 361,CASC - Social Science and FND - Global Course and FND - Social Science and Thematic Sequence
83028,ATH,180F,A,3,Apes Behavior & Conservation,TR,10:05 am-11:25 am,Linda F. Marchant (P),01/29-05/19,UPH 180B,CASC - Social Science and Honors Course and FND - Social Science
76006,ATH,185,A,3,Cultural Diversity in the US,WF,08:30 am-09:50 am,James S. Bielo (P),01/29-05/19,UPH 298,CASC - Social Science and FND - Global Course and Intercultural Perspectives and FND - Social Science
82077,ATH,185,B,3,Cultural Diversity in the US,TR,11:40 am-01:00 pm,Mary Jane Berman (P),01/29-05/19,UPH 275,CASC - Social Science and FND - Global Course and Intercultural Perspectives and FND - Social Science
83117,ATH,185,D,3,Cultural Diversity in the US,TR,02:50 pm-04:10 pm,Yang Jiao (P),01/29-05/19,UPH 071,CASC - Social Science and FND - Global Course and Intercultural Perspectives and FND - Social Science
83118,ATH,185,E,3,Cultural Diversity in the US,TR,11:40 am-01:00 pm,Yang Jiao (P),01/29-05/19,UPH 071,CASC - Social Science and FND - Global Course and Intercultural Perspectives and FND - Social Science
83080,ATH,206,D,3,Introduction to Latin America,WF,10:05 am-11:25 am,Giovanni Batz (P),01/29-05/19,TBA,CASC - Social Science and FND - Global Course and Intercultural Perspectives and FND - Social Science and Thematic Sequence
76011,ATH,212,A,4,Archaeological Theory/Methods,TR,01:15 pm-02:35 pm,Jeb Joseph Card (P),01/29-05/19,UPH 180A,CASC - Social Science
,,,,,,F,02:50 pm-03:45 pm,TBA,01/29-05/19,UPH 180A,CASC - Social Science
76012,ATH,212,B,4,Archaeological Theory/Methods,TR,01:15 pm-02:35 pm,Jeb Joseph Card (P),01/29-05/19,UPH 180A,CASC - Social Science
,,,,,,F,01:15 pm-02:10 pm,TBA,01/29-05/19,UPH 180A,CASC - Social Science
82809,ATH,219,A,3,Introduction to Linguistics,TR,08:30 am-09:50 am,John M. Jeep (P),01/29-05/19,IRV 124,FND - MTH; Reasoning
82812,ATH,219,B,3,Introduction to Linguistics,TR,01:15 pm-02:35 pm,TBA,01/29-05/19,UPH 167,FND - MTH; Reasoning
82926,ATH,219,C,3,Introduction to Linguistics,MW,04:25 pm-05:45 pm,TBA,01/29-05/19,UPH 167,FND - MTH; Reasoning
82815,ATH,219,D,3,Introduction to Linguistics,TR,04:25 pm-05:45 pm,TBA,01/29-05/19,IRV 142,FND - MTH; Reasoning
83029,ATH,255,A,4,Found Of Biological Anthro,MW,08:30 am-09:50 am,Clara JoAnn Scarry (P),01/29-05/19,UPH 180B,CASC - Social Science
,,,,,,F,10:05 am-11:00 am,TBA,01/29-05/19,UPH 180B,CASC - Social Science
83030,ATH,255,B,4,Found Of Biological Anthro,MW,08:30 am-09:50 am,Clara JoAnn Scarry (P),01/29-05/19,UPH 180B,CASC - Social Science
,,,,,,F,08:30 am-09:25 am,TBA,01/29-05/19,UPH 180B,CASC - Social Science
76069,ATH,265,A,4,Intro to Ling Anth,TR,11:40 am-01:00 pm,Leighton C. Peterson (P),01/29-05/19,UPH 180C,CASC - Social Science
