CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
68149,ACC,321,H,3,Intermed Financial Accounting,TR,01:15 pm-02:35 pm,TBA,08/28-12/16,FSB 0028,Bus Course for Surcharge and Thematic Sequence
10143,ACC,333,A,3,Managerial Accounting,MW,01:15 pm-02:35 pm,Dan L. Heitger (P),08/28-12/16,FSB 0031,Bus Course for Surcharge
54948,ACC,333,B,3,Managerial Accounting,MW,02:50 pm-04:10 pm,Dan L. Heitger (P),08/28-12/16,FSB 0031,Bus Course for Surcharge
10145,ACC,333,C,3,Managerial Accounting,MW,04:25 pm-05:45 pm,Kenneth Walter Miller (P),08/28-12/16,FSB 0031,Bus Course for Surcharge
10146,ACC,333,D,3,Managerial Accounting,TR,11:40 am-01:00 pm,Eric Marinich (P),08/28-12/16,FSB 0027,Bus Course for Surcharge
10147,ACC,333,E,3,Managerial Accounting,TR,01:15 pm-02:35 pm,Eric Marinich (P),08/28-12/16,FSB 0027,Bus Course for Surcharge
69097,ACC,333,F,3,Managerial Accounting,TR,02:50 pm-04:10 pm,Karen Julia L. De Meyst (P),08/28-12/16,FSB 0027,Bus Course for Surcharge
69098,ACC,333,G,3,Managerial Accounting,TR,04:25 pm-05:45 pm,Karen Julia L. De Meyst (P),08/28-12/16,FSB 0027,Bus Course for Surcharge
70926,ACC,340,A,0.000-20.000,Internship,,TBA,Elizabeth Marie Killy (P),08/28-12/16,WEB,Bus Course for Surcharge and Online Course/DistanceLearning
55788,ACC,343,A,3,Federal Income Tax Accounting,MW,02:50 pm-04:10 pm,William J. Moser (P),08/28-12/16,FSB 0026,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:30 pm,TBA,10/04-10/04,TBA,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:30 pm,TBA,11/15-11/15,TBA,Bus Course for Surcharge
55789,ACC,343,B,3,Federal Income Tax Accounting,TR,11:40 am-01:00 pm,Michele Frank (P),08/28-12/16,FSB 0026,Bus Course for Surcharge
69108,ACC,343,C,3,Federal Income Tax Accounting,TR,01:15 pm-02:35 pm,Michele Frank (P),08/28-12/16,FSB 0026,Bus Course for Surcharge
66244,ACC,343,D,3,Federal Income Tax Accounting,WF,08:30 am-09:50 am,Roger D. Ames (P),08/28-12/16,FSB 0026,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,10/04-10/04,TBA,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,11/08-11/08,TBA,Bus Course for Surcharge
61312,ACC,343,E,3,Federal Income Tax Accounting,WF,11:40 am-01:00 pm,Roger D. Ames (P),08/28-12/16,FSB 0027,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,10/04-10/04,TBA,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,11/08-11/08,TBA,Bus Course for Surcharge
69111,ACC,343,F,3,Federal Income Tax Accounting,TR,08:30 am-09:50 am,Roger D. Ames (P),08/28-12/16,FSB 0027,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,10/04-10/04,TBA,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,11/08-11/08,TBA,Bus Course for Surcharge
15200,ACC,361,A,3,Modeling Bus Proc in AIS,TR,11:40 am-01:00 pm,Jan Ellen Eighme (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
13962,ACC,361,B,3,Modeling Bus Proc in AIS,TR,02:50 pm-04:10 pm,Jan Ellen Eighme (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
18498,ACC,361,C,3,Modeling Bus Proc in AIS,TR,10:05 am-11:25 am,Jan Ellen Eighme (P),08/28-12/16,FSB 0027,Bus Course for Surcharge
70755,ACC,370,B,1,Applied Accounting Research,,TBA,Timothy Vance Eaton (P),08/28-12/16,TBA,Bus Course for Surcharge
10148,ACC,422,A,3,Financial Accounting Research,MW,08:30 am-09:50 am,Qing Liao Burke (P),08/28-12/16,FSB 0027,Bus Course for Surcharge and Thematic Sequence
10149,ACC,422,B,3,Financial Accounting Research,MW,10:05 am-11:25 am,Qing Liao Burke (P),08/28-12/16,FSB 0027,Bus Course for Surcharge and Thematic Sequence
72200,ACC,422,C,3,Financial Accounting Research,MW,04:25 pm-05:45 pm,Marc A. Rubin (P),08/28-12/16,FSB 0020,Bus Course for Surcharge and Thematic Sequence
72559,ACC,445,A,3,Corp. Partnrshp&Taxation,MW,04:25 pm-05:45 pm,William J. Moser (P),08/28-12/16,FSB 0026,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,10/04-10/04,TBA,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,11/15-11/15,TBA,Bus Course for Surcharge
66271,ACC,452,B,3,Internal Auditing,TR,04:25 pm-05:45 pm,James Daniel Krause (P),08/28-12/16,FSB 0020,Bus Course for Surcharge
10152,ACC,453,A,3,Financial Statement Auditing,WF,10:05 am-11:25 am,Andrew B. Reffett (P),08/28-12/16,FSB 0026,Bus Course for Surcharge
10153,ACC,453,B,3,Financial Statement Auditing,WF,11:40 am-01:00 pm,Andrew B. Reffett (P),08/28-12/16,FSB 0026,Bus Course for Surcharge
72204,ACC,453,C,3,Financial Statement Auditing,WF,01:15 pm-02:35 pm,Andrew B. Reffett (P),08/28-12/16,FSB 0026,Bus Course for Surcharge
68055,ACC,453,E,3,Financial Statement Auditing,MW,11:40 am-01:00 pm,Jonathan Hallberg Grenier (P),08/28-12/16,FSB 0020,Bus Course for Surcharge
68057,ACC,468,A,3,Government and NFP Accounting,TR,04:25 pm-05:45 pm,Jan Ellen Eighme (P),08/28-12/16,FSB 0028,Bus Course for Surcharge and Thematic Sequence
70312,ACC,553,A,3,Financial Statement Auditing,MW,02:50 pm-04:10 pm,Jonathan Hallberg Grenier (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
72238,ACC,553,B,3,Financial Statement Auditing,MW,04:25 pm-05:45 pm,Jonathan Hallberg Grenier (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
72583,ACC,568,A,3,Government and NFP Accounting,TR,04:25 pm-05:45 pm,Jan Ellen Eighme (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
68152,ACC,635,A,3,Fin Leadership in Orgs,TR,08:30 am-09:50 am,Anne Magner Farrell (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
72243,ACC,635,B,3,Fin Leadership in Orgs,TR,10:05 am-11:25 am,Anne Magner Farrell (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
61319,ACC,646,A,3,Taxes and Business Decisions,TR,08:30 am-09:50 am,William Douglas Brink (P),08/28-12/16,FSB 0031,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,09/20-09/20,TBA,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,10/18-10/18,TBA,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,11/29-11/29,TBA,Bus Course for Surcharge
72246,ACC,646,B,3,Taxes and Business Decisions,TR,10:05 am-11:25 am,William Douglas Brink (P),08/28-12/16,FSB 0031,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,09/20-09/20,TBA,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,10/18-10/18,TBA,Bus Course for Surcharge
,,,,,,W,06:00 pm-08:00 pm,TBA,11/29-11/29,TBA,Bus Course for Surcharge
52766,ACC,655,A,3,Control of Acctg &Reportg Risk,MW,11:40 am-01:00 pm,Brian John Ballou (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
72250,ACC,655,B,3,Control of Acctg &Reportg Risk,MW,01:15 pm-02:35 pm,Brian John Ballou (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
68146,ACC,661,A,3,Accounting Theory and Research,MW,08:30 am-09:50 am,Michael Dale Stoel (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
72265,ACC,661,B,3,Accounting Theory and Research,MW,10:05 am-11:25 am,Michael Dale Stoel (P),08/28-12/16,FSB 0028,Bus Course for Surcharge
,,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
10173,AES,110,A,1,Leadership Laboratory,R,04:25 pm-06:25 pm,Jeffrey Thomas Guttman (P); Allison Marie Galford,08/28-12/16,MIL 061,
10174,AES,121,A,1,Fndtns of the U.S. Air Force,T,02:50 pm-03:45 pm,Jeffrey Thomas Guttman (P); Allison Marie Galford,08/28-12/16,MIL 061,
10175,AES,121,B,1,Fndtns of the U.S. Air Force,R,01:15 pm-02:20 pm,Jeffrey Thomas Guttman (P); Allison Marie Galford,08/28-12/16,MIL 061,
