CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
70170,DST,312,A,3,Deaf Culture: Global; National,MW,10:05 am-11:25 am,TBA,08/28-12/16,KRG 207,FND - Global Course and Intercultural Perspectives and FND - Social Science
70172,DST,312,B,3,Deaf Culture: Global; National,MW,11:40 am-01:00 pm,Megan E. Gross (P),08/28-12/16,BAC 134,FND - Global Course and Intercultural Perspectives and FND - Social Science
72193,DST,378,A,3,Media Illusions of Disability,W,06:30 pm-09:10 pm,Mark William O'Hara (P),08/28-12/16,MCG 117,
,,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
15781,ECO,201,A,3,Principles Of Microeconomics,MW,08:30 am-09:50 am,Steven R. Elliott (P),08/28-12/16,FSB 0025,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
16818,ECO,201,B,3,Principles Of Microeconomics,TR,08:30 am-09:50 am,TBA,08/28-12/16,FSB 0019,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
10631,ECO,201,C,3,Principles Of Microeconomics,TR,01:15 pm-02:35 pm,Monticha Sompolvorachai (P),08/28-12/16,UPH 312,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
50662,ECO,201,D,3,Principles Of Microeconomics,WF,08:30 am-09:50 am,TBA,08/28-12/16,LWS 302,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
15308,ECO,201,E,3,Principles Of Microeconomics,WF,10:05 am-11:25 am,TBA,08/28-12/16,LWS 302,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
51263,ECO,201,F,3,Principles Of Microeconomics,TR,11:40 am-01:00 pm,TBA,08/28-12/16,FSB 0019,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
16822,ECO,201,H,3,Principles Of Microeconomics,MW,11:40 am-01:00 pm,Jacob Brindley (P),08/28-12/16,FSB 0019,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
10633,ECO,201,I,3,Principles Of Microeconomics,MW,11:40 am-01:00 pm,TBA,08/28-12/16,LWS 302,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
14135,ECO,201,J,3,Principles Of Microeconomics,TR,01:15 pm-02:35 pm,TBA,08/28-12/16,FSB 0019,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
15306,ECO,201,K,3,Principles Of Microeconomics,MW,01:15 pm-02:35 pm,Jacob Brindley (P),08/28-12/16,FSB 0019,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
16826,ECO,201,L,3,Principles Of Microeconomics,MW,01:15 pm-02:35 pm,Melissa A. Thomasson (P),08/28-12/16,FSB 0025,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
55905,ECO,201,M,3,Principles Of Microeconomics,MW,02:50 pm-04:10 pm,Melissa A. Thomasson (P),08/28-12/16,FSB 0025,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
69114,ECO,201,R,3,Principles Of Microeconomics,MW,02:50 pm-04:10 pm,TBA,08/28-12/16,FSB 2040,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
69115,ECO,201,S,3,Principles Of Microeconomics,WF,02:50 pm-04:10 pm,TBA,08/28-12/16,FSB 0024,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
71652,ECO,201,T,3,Principles Of Microeconomics,MW,04:25 pm-05:45 pm,TBA,08/28-12/16,FSB 2040,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
15311,ECO,201H,A,3,Prin Of Microeconomics-Honors,TR,10:05 am-11:25 am,Gregory Thomas Niemesh (P),08/28-12/16,LWS 304,CASC - Social Science and Honors Course and FND - Social Science and Top 25
15325,ECO,201H,B,3,Prin Of Microeconomics-Honors,TR,01:15 pm-02:35 pm,Gregory Thomas Niemesh (P),08/28-12/16,LWS 302,CASC - Social Science and Honors Course and FND - Social Science and Top 25
55906,ECO,202,A,3,Principles Of Macroeconomics,TR,11:40 am-01:00 pm,Ling Shao (P),08/28-12/16,FSB 0014,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
14137,ECO,202,B,3,Principles Of Macroeconomics,TR,11:40 am-01:00 pm,Gerald D. Granderson (P),08/28-12/16,FSB 0032,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
51266,ECO,202,C,3,Principles Of Macroeconomics,TR,11:40 am-01:00 pm,TBA,08/28-12/16,LWS 304,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
14138,ECO,202,D,3,Principles Of Macroeconomics,TR,01:15 pm-02:35 pm,Gerald D. Granderson (P),08/28-12/16,FSB 0032,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
16831,ECO,202,E,3,Principles Of Macroeconomics,TR,01:15 pm-02:35 pm,Norman C. Miller (P),08/28-12/16,FSB 0025,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
16833,ECO,202,F,3,Principles Of Macroeconomics,TR,02:50 pm-04:10 pm,TBA,08/28-12/16,LWS 302,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
60089,ECO,202,G,3,Principles Of Macroeconomics,TR,02:50 pm-04:10 pm,Norman C. Miller (P),08/28-12/16,FSB 0025,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
63972,ECO,202,H,3,Principles Of Macroeconomics,TR,04:25 pm-05:45 pm,TBA,08/28-12/16,LWS 302,CASC - Social Science and FND - Social Science and Top 25 and Thematic Sequence
10644,ECO,301,A,3,Money And Banking,MW,04:25 pm-05:45 pm,Ejindu Ume (P),08/28-12/16,FSB 0019,Bus Course for Surcharge and CASC - Social Science
50756,ECO,301,B,3,Money And Banking,WF,10:05 am-11:25 am,Prosper Raynold (P),08/28-12/16,FSB 0019,Bus Course for Surcharge and CASC - Social Science
66899,ECO,301,C,3,Money And Banking,MW,02:50 pm-04:10 pm,Ejindu Ume (P),08/28-12/16,FSB 0019,Bus Course for Surcharge and CASC - Social Science
18144,ECO,311,A,3,Examining Econ Data & Models,MW,08:30 am-09:50 am,John R. Bowblis (P),08/28-12/16,FSB 1006,Bus Course for Surcharge and CASC - Social Science and CAS - Quantitative Literacy
18145,ECO,311,B,3,Examining Econ Data & Models,TR,10:05 am-11:25 am,William E. Even (P),08/28-12/16,FSB 0005,Bus Course for Surcharge and CASC - Social Science and CAS - Quantitative Literacy
65903,ECO,311,C,3,Examining Econ Data & Models,MW,10:05 am-11:25 am,John R. Bowblis (P),08/28-12/16,FSB 1006,Bus Course for Surcharge and CASC - Social Science and CAS - Quantitative Literacy
67707,ECO,311,D,3,Examining Econ Data & Models,TR,11:40 am-01:00 pm,William E. Even (P),08/28-12/16,FSB 0005,Bus Course for Surcharge and CASC - Social Science and CAS - Quantitative Literacy
71720,ECO,311,E,3,Examining Econ Data & Models,TR,01:15 pm-02:35 pm,Deborah Fletcher (P),08/28-12/16,FSB 2037,Bus Course for Surcharge and CASC - Social Science and CAS - Quantitative Literacy
10645,ECO,315,A,3,Intermed Microeconomic Theory,TR,08:30 am-09:50 am,Charles C. Moul (P),08/28-12/16,FSB 0014,Bus Course for Surcharge and CASC - Social Science and Thematic Sequence
10646,ECO,315,B,3,Intermed Microeconomic Theory,TR,10:05 am-11:25 am,Charles C. Moul (P),08/28-12/16,FSB 0014,Bus Course for Surcharge and CASC - Social Science and Thematic Sequence
10647,ECO,315,C,3,Intermed Microeconomic Theory,TR,11:40 am-01:00 pm,TBA,08/28-12/16,FSB 1006,Bus Course for Surcharge and CASC - Social Science and Thematic Sequence
67709,ECO,315,D,3,Intermed Microeconomic Theory,MW,11:40 am-01:00 pm,Steven R. Elliott (P),08/28-12/16,FSB 0032,Bus Course for Surcharge and CASC - Social Science and Thematic Sequence
69125,ECO,315,F,3,Intermed Microeconomic Theory,TR,01:15 pm-02:35 pm,Charles C. Moul (P),08/28-12/16,FSB 1006,Bus Course for Surcharge and CASC - Social Science and Thematic Sequence
10648,ECO,317,A,3,Intermed Macroeconomic Theory,TR,02:50 pm-04:10 pm,Jonathan Stephen Wolff (P),08/28-12/16,FSB 1006,Bus Course for Surcharge and CASC - Social Science
10649,ECO,317,B,3,Intermed Macroeconomic Theory,MW,02:50 pm-04:10 pm,Nam Tuan Vu (P),08/28-12/16,FSB 0005,Bus Course for Surcharge and CASC - Social Science
14140,ECO,317,C,3,Intermed Macroeconomic Theory,MW,02:50 pm-04:10 pm,Kimberly Ann Berg (P),08/28-12/16,FSB 1006,Bus Course for Surcharge and CASC - Social Science
66901,ECO,317,D,3,Intermed Macroeconomic Theory,TR,04:25 pm-05:45 pm,Jonathan Stephen Wolff (P),08/28-12/16,FSB 0033,Bus Course for Surcharge and CASC - Social Science
69121,ECO,317,E,3,Intermed Macroeconomic Theory,MW,04:25 pm-05:45 pm,Kimberly Ann Berg (P),08/28-12/16,FSB 1006,Bus Course for Surcharge and CASC - Social Science
71762,ECO,320C,A,3,The Economics of Education,TR,08:30 am-09:50 am,Deborah Fletcher (P),08/28-12/16,FSB 1006,Bus Course for Surcharge
71763,ECO,320C,B,3,The Economics of Education,TR,10:05 am-11:25 am,Deborah Fletcher (P),08/28-12/16,FSB 1006,Bus Course for Surcharge
70132,ECO,325,A,3,Economic Analysis Of Law,MW,04:25 pm-05:45 pm,Jacob Brindley (P),08/28-12/16,FSB 0014,Bus Course for Surcharge and CASC - Social Science and Thematic Sequence
69128,ECO,331,A,3,Public Sector Economics,TR,10:05 am-11:25 am,Analisa Marie Packham (P),08/28-12/16,FSB 0019,Bus Course for Surcharge and CASC - Social Science and Thematic Sequence
69129,ECO,331,B,3,Public Sector Economics,TR,11:40 am-01:00 pm,Analisa Marie Packham (P),08/28-12/16,FSB 0020,Bus Course for Surcharge and CASC - Social Science and Thematic Sequence
10650,ECO,344,A,3,Internatl Economic Relations,TR,02:50 pm-04:10 pm,Ling Shao (P),08/28-12/16,FSB 0019,Bus Course for Surcharge and Thematic Sequence
55909,ECO,344,B,3,Internatl Economic Relations,TR,04:25 pm-05:45 pm,Ling Shao (P),08/28-12/16,FSB 0019,Bus Course for Surcharge and Thematic Sequence
67710,ECO,347,A,3,Economic Development,WF,01:15 pm-02:35 pm,Janice Rye Kinghorn (P),08/28-12/16,FSB 0014,Bus Course for Surcharge and Thematic Sequence
71745,ECO,356,A,3,Poverty & Income Distribution,WF,08:30 am-09:50 am,Janice Rye Kinghorn (P),08/28-12/16,FSB 0019,Bus Course for Surcharge and CASC - Social Science and Intercultural Perspectives and Thematic Sequence
18146,ECO,385,A,3,Government And Business,TR,08:30 am-09:50 am,James W. Brock (P),08/28-12/16,FSB 0005,Bus Course for Surcharge and CASC - Social Science and Thematic Sequence
59918,ECO,405,A,3,Economics of Strategy,TR,08:30 am-09:50 am,Gerald D. Granderson (P),08/28-12/16,FSB 0025,Bus Course for Surcharge and CASC - Social Science and Senior Capstone
67706,ECO,411,A,3,Advanced Empirical Methods,MW,01:15 pm-02:35 pm,Jing Li (P),08/28-12/16,FSB 0032,Bus Course for Surcharge
54280,ECO,414,B,4,Mathematical Economics,MW,04:25 pm-06:15 pm,Mark E. McBride (P),08/28-12/16,FSB 0032,Bus Course for Surcharge and CASC - Social Science
67711,ECO,418,A,3,Monetary Theory And Policy,WF,01:15 pm-02:35 pm,Prosper Raynold (P),08/28-12/16,FSB 0005,Bus Course for Surcharge and CASC - Social Science and Thematic Sequence
71822,ECO,420U,A,3,Financial Crises & Recessions,MW,04:25 pm-05:45 pm,Nam Tuan Vu (P),08/28-12/16,FSB 0005,Bus Course for Surcharge and CASC - Social Science
18148,ECO,423,A,3,History Of Economic Analysis,W,06:30 pm-09:10 pm,James W. Brock (P),08/28-12/16,FSB 1006,Bus Course for Surcharge and CASC - Social Science
69122,ECO,465,A,3,Game Theory/Econ Applications,MW,11:40 am-01:00 pm,Mark E. McBride (P),08/28-12/16,FSB 1006,Bus Course for Surcharge and CASC - Social Science
69123,ECO,465,B,3,Game Theory/Econ Applications,MW,01:15 pm-02:35 pm,Mark E. McBride (P),08/28-12/16,FSB 1006,Bus Course for Surcharge and CASC - Social Science
68762,ECO,511,A,3,Advanced Empirical Methods,MW,01:15 pm-02:35 pm,Jing Li (P),08/28-12/16,FSB 0032,Bus Course for Surcharge
63988,ECO,514,B,4,Mathematical Economics,MW,04:25 pm-06:15 pm,Mark E. McBride (P),08/28-12/16,FSB 0032,Bus Course for Surcharge
67712,ECO,518,A,3,Monetary Theory And Policy,WF,01:15 pm-02:35 pm,Prosper Raynold (P),08/28-12/16,FSB 0005,Bus Course for Surcharge
18150,ECO,523,A,3,History Of Economic Analysis,W,06:30 pm-09:10 pm,James W. Brock (P),08/28-12/16,FSB 1006,Bus Course for Surcharge
63985,ECO,615,A,3,Advanced Microeconomic Theory,TR,04:25 pm-05:45 pm,TBA,08/28-12/16,FSB 1006,Bus Course for Surcharge
63987,ECO,663,A,3,Econometrics,TR,11:40 am-01:00 pm,George K. Davis (P),08/28-12/16,FSB 0033,Bus Course for Surcharge
71760,ECO,672,A,3,Applied Time Series Analysis,MW,02:50 pm-04:10 pm,Jing Li (P),08/28-12/16,FSB 0014,Bus Course for Surcharge
,,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
60299,EHS,667,A,3,Behavior Statistics,R,04:25 pm-07:05 pm,Jason T. Abbitt (P),08/28-12/16,MCG 416,
68045,EHS,668,A,3,Behavior Statistics II,MW,10:05 am-11:25 am,Rose Marie Ward (P),08/28-12/16,PHI 202H,
65455,EHS,710,A,1.000-6.000,Interdiscip. Doctoral Lab,,TBA,Sherrill L. Sellers (P),08/28-12/16,TBA,
,,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
71637,EDL,115,A,1,Miami Tribe Contemp. Issues 1,T,05:40 pm-06:35 pm,George Michael Ironstrack (P),08/28-12/16,MCG 122,
69465,EDL,203,A,3,Intro to Crit. Youth Studies,TR,02:50 pm-04:10 pm,Durell Maurice Callier (P),08/28-12/16,HRN 109,FND - Social Science
10678,EDL,204,A,3,Sociocultural Studies In Educ,TR,08:30 am-09:50 am,Kate Rousmaniere (P),08/28-12/16,MCG 215,FND - Humanities and Thematic Sequence
10679,EDL,204,B,3,Sociocultural Studies In Educ,TR,10:05 am-11:25 am,Kate Rousmaniere (P),08/28-12/16,GAR 153,FND - Humanities and Thematic Sequence
10681,EDL,204,C,3,Sociocultural Studies In Educ,MW,10:05 am-11:25 am,Kate Rousmaniere (P),08/28-12/16,MCG 317,FND - Humanities and Thematic Sequence
68563,EDL,204,D,3,Sociocultural Studies In Educ,MW,11:40 am-01:00 pm,Kate Rousmaniere (P),08/28-12/16,MCG 317,FND - Humanities and Thematic Sequence
10676,EDL,204,F,3,Sociocultural Studies In Educ,MWF,01:15 pm-02:10 pm,Kate Rousmaniere (P),08/28-12/16,MCG 419,FND - Humanities and Thematic Sequence
57760,EDL,204,G,3,Sociocultural Studies In Educ,MWF,01:15 pm-02:10 pm,Kate Rousmaniere (P),08/28-12/16,MCG 117,FND - Humanities and Thematic Sequence
15770,EDL,204,H,3,Sociocultural Studies In Educ,MWF,01:15 pm-02:10 pm,Kate Rousmaniere (P),08/28-12/16,LWS 201,FND - Humanities and Thematic Sequence
10685,EDL,204,I,3,Sociocultural Studies In Educ,MWF,01:15 pm-02:10 pm,Kate Rousmaniere (P),08/28-12/16,MCG 317,FND - Humanities and Thematic Sequence
64990,EDL,204,J,3,Sociocultural Studies In Educ,MWF,01:15 pm-02:10 pm,Kate Rousmaniere (P),08/28-12/16,UPH 343,FND - Humanities and Thematic Sequence
66630,EDL,204,U,3,Sociocultural Studies In Educ,T,04:25 pm-07:05 pm,Kate Rousmaniere (P),08/28-12/16,MCG 317,FND - Humanities and Thematic Sequence
72663,EDL,224,A,3,Intro to Educational Policy,TR,10:05 am-11:25 am,Michael Pier Evans (P),08/28-12/16,HRN 109,
63204,EDL,232,A,3,Intro to Community Leadership,WF,08:30 am-09:50 am,TBA,08/28-12/16,MCG 416,FND - Social Science
69467,EDL,232,B,3,Intro to Community Leadership,WF,11:40 am-12:55 pm,TBA,08/28-12/16,MCG 121,FND - Social Science
63730,EDL,260,QA,1,Undergraduate Research,T,02:50 pm-03:45 pm,Chasity Mone't Dittmann (P),09/11-12/16,MCG 317,
66647,EDL,290E,A,2,Emerging Leaders,M,02:50 pm-04:30 pm,Jeremy Seth Bragg (P),08/28-12/16,MCG 418,
66649,EDL,290E,B,2,Emerging Leaders,W,02:50 pm-04:30 pm,Jeremy Seth Bragg (P),08/28-12/16,MCG 418,
66650,EDL,290E,C,2,Emerging Leaders,T,02:50 pm-04:30 pm,Jeremy Seth Bragg (P),08/28-12/16,MCG 218,
66651,EDL,290E,D,2,Emerging Leaders,R,02:50 pm-04:30 pm,Jeremy Seth Bragg (P),08/28-12/16,MCG 419,
66652,EDL,290E,E,2,Emerging Leaders,F,10:05 am-11:45 am,Jeremy Seth Bragg (P),08/28-12/16,UPH 255,
69852,EDL,290G,A,2,Fraternity and Sorority Life,R,01:15 pm-02:55 pm,Jeremy Seth Bragg (P),08/28-12/16,MCG 119,
66660,EDL,290R,A,2,Outdoor Leadership,T,01:15 pm-02:35 pm,William Sparks (P),08/28-12/16,RSC,
66675,EDL,290R,B,2,Outdoor Leadership,T,02:50 pm-04:10 pm,William Sparks (P),08/28-12/16,RSC,
66676,EDL,290R,C,2,Outdoor Leadership,R,01:15 pm-02:35 pm,Jennifer M. Siliko (P),08/28-12/16,RSC,
71657,EDL,290R,D,2,Outdoor Leadership,F,10:05 am-11:25 am,William Sparks (P),08/28-12/16,RSC 057,
72558,EDL,290T,A,2,Tabletop Games & Leadership,R,06:00 pm-07:40 pm,Jeremy Seth Bragg (P),08/28-12/16,BEN 207,
66677,EDL,290W,A,2,Wilks Leadership,T,04:25 pm-05:55 pm,Courtney Lynn Wallace (P),08/28-12/16,MCG 223,
66678,EDL,290W,B,2,Wilks Leadership,W,04:25 pm-05:55 pm,Courtney Lynn Wallace (P),08/28-12/16,MCG 419,
66679,EDL,290W,C,2,Wilks Leadership,W,04:25 pm-05:55 pm,Courtney Lynn Wallace (P),08/28-12/16,MCG 224,
66680,EDL,290W,D,2,Wilks Leadership,R,04:25 pm-05:55 pm,Courtney Lynn Wallace (P),08/28-12/16,MCG 317,
67955,EDL,301,VA,1,Student Develop Residence Hall,F,11:40 am-01:15 pm,Erik Sorensen (P),09/05-11/06,MCG 317,
17584,EDL,301,VB,1,Student Develop Residence Hall,T,02:50 pm-04:25 pm,Erik Sorensen (P),09/05-11/06,MCG 416,
54331,EDL,301,VC,1,Student Develop Residence Hall,T,04:25 pm-06:15 pm,Erik Sorensen (P),09/05-11/06,MCG 222,
54332,EDL,301,VD,1,Student Develop Residence Hall,W,02:50 pm-04:25 pm,Erik Sorensen (P),09/05-11/06,MMH 114,
70470,EDL,301,VE,1,Student Develop Residence Hall,M,04:25 pm-06:15 pm,Erik Sorensen (P),09/05-11/06,MCG 222,
54334,EDL,301,VF,1,Student Develop Residence Hall,M,04:25 pm-06:05 pm,Erik Sorensen (P),09/05-11/06,MCG 416,
54335,EDL,301,VG,1,Student Develop Residence Hall,T,06:30 pm-08:20 pm,Erik Sorensen (P),09/05-11/06,MCG 120,
54336,EDL,301,VH,1,Student Develop Residence Hall,W,06:30 pm-08:20 pm,Erik Sorensen (P),09/05-11/06,MCG 416,
60244,EDL,301,VI,1,Student Develop Residence Hall,M,02:50 pm-04:25 pm,Erik Sorensen (P),09/05-11/06,MCG 317,
14207,EDL,318A,A,3,Teacher Ldrshp:Adolescent Educ,M,04:25 pm-07:05 pm,Thomas S. Poetter (P),08/28-12/16,MCG 217,
14208,EDL,318A,B,3,Teacher Ldrshp:Adolescent Educ,T,04:25 pm-07:05 pm,Thomas S. Poetter (P),08/28-12/16,MCG 224,
66309,EDL,318E,A,3,Teacher Ldrshp:Early Childhood,R,02:50 pm-05:30 pm,Thomas S. Poetter (P),08/28-12/16,MCG 218,
66310,EDL,318E,B,3,Teacher Ldrshp:Early Childhood,R,11:40 am-02:20 pm,Thomas S. Poetter (P),08/28-12/16,MCG 416,
14212,EDL,318E,C,3,Teacher Ldrshp:Early Childhood,R,08:30 am-11:10 am,Thomas S. Poetter (P),08/28-12/16,MCG 117,
18732,EDL,318M,A,3,Teacher Leadrshp/Mid Childhood,TR,11:40 am-01:00 pm,Thomas S. Poetter (P),08/28-12/16,MCG 218,
64897,EDL,318M,B,3,Teacher Leadrshp/Mid Childhood,TR,10:05 am-11:25 am,Thomas S. Poetter (P),08/28-12/16,MCG 218,
60225,EDL,334,A,3,Transnational Youth Cultures,TR,11:40 am-01:00 pm,Lisa D. Weems (P),08/28-12/16,HRN 109,Thematic Sequence
71662,EDL,369,A,3,Sexuality; Youth; Education,TR,10:05 am-11:25 am,Lisa D. Weems (P),08/28-12/16,MCG 217,
71663,EDL,607,A,3,School Law,M,04:25 pm-07:05 pm,Dustin Wade Miller (P),08/28-12/16,OFF,
71664,EDL,607,B,3,School Law,W,04:25 pm-07:10 pm,Andrew M. Smith (P),08/28-12/16,OFF,
71665,EDL,609,A,3,Politics In Education,M,07:15 pm-09:30 pm,Mary Helen Moorhead (P),08/28-12/16,OFF,
71666,EDL,609,B,3,Politics In Education,W,07:15 pm-09:30 pm,Lucian August Szlizewski (P),08/28-12/16,OFF,
59822,EDL,654,A,3,Research in Higher Education,T,04:25 pm-07:05 pm,Kathleen M. Goodman (P),08/28-12/16,MCG 311,
67872,EDL,654,B,3,Research in Higher Education,R,04:25 pm-07:05 pm,Kathleen M. Goodman (P),08/28-12/16,MCG 119,
64938,EDL,656F,A,3,Field Experience-Ownership,W,04:25 pm-07:05 pm,Mahauganee Dawn Shaw (P),08/28-12/16,MCG 317,
64939,EDL,656F,B,3,Field Experience-Ownership,R,10:05 am-12:45 pm,Mahauganee Dawn Shaw (P),08/28-12/16,MCG 122,
70440,EDL,660E,VA,2,Exploring Whiteness in Hi Ed,T,01:15 pm-02:30 pm,Kathleen M. Goodman (P),09/05-11/06,MCG 311,
71712,EDL,667,A,3,Diversity and Equity,W,10:05 am-12:45 pm,Stephen John Quaye (P),08/28-12/16,MCG 119,
71713,EDL,671,A,3,Crisis Management Seminar,R,04:25 pm-07:05 pm,Mahauganee Dawn Shaw (P),08/28-12/16,MCG 224,
71714,EDL,676,A,3,Foundations of Student Affairs,M,10:05 am-12:45 pm,David Perez (P),08/28-12/16,HRN 302,
66308,EDL,683,A,3,Qualitative Research in Ed,W,01:15 pm-03:55 pm,Stephen John Quaye (P),08/28-12/16,MCG 121,
69593,EDL,683,B,3,Qualitative Research in Ed,T,04:25 pm-07:05 pm,Durell Maurice Callier (P),08/28-12/16,MCG 119,
68408,EDL,696,A,3,Student Success in Higher Educ,M,04:25 pm-07:05 pm,David Perez (P),08/28-12/16,MCG 218,
72635,EDL,710,A,3,Intern Educational Leadership,,TBA,Kathleen Mecoli (P),08/28-12/16,OFF,
69594,EDL,710S,A,3,Superintendent's Internship,R,04:25 pm-06:55 pm,Lucian August Szlizewski (P),08/28-12/16,OFF,
71739,EDL,721,A,1.000-3.000,Pupil Personnel Services,,TBA,Kathleen Mecoli (P),08/28-12/16,OFF,
71742,EDL,721,B,1.000-3.000,Pupil Personnel Services,,TBA,TBA,08/28-12/16,OFF,
71744,EDL,731,A,3,Learning Partnerships,T,04:25 pm-07:05 pm,Stephen John Quaye (P),08/28-12/16,MCG 225,
17100,EDL,761,A,3,Introduction to Study in EDL,M,04:25 pm-07:05 pm,Thomas S. Poetter (P),08/28-12/16,MCG 117,
69468,EDL,762,A,3,Culture Leadership Education,M,07:00 pm-09:40 pm,Brittany Alexis Aronson (P),08/28-12/16,MCG 317,
71753,EDL,762,B,3,Culture Leadership Education,TR,04:30 pm-07:00 pm,Brittany Alexis Aronson (P),08/28-12/16,TBA,Hybrid (Partially Online)
,,,,,,,TBA,TBA,10/17-12/16,OFF,Hybrid (Partially Online)
57825,EDL,771,A,3,Educational Policy Analysis,,04:30 pm-07:00 pm,Andrew Michael Saultz (P),08/28-12/15,TBA,Hybrid (Partially Online)
,,,,,,TR,04:30 pm-07:00 pm,TBA,08/29-10/12,OFF,Hybrid (Partially Online)
71761,EDL,771,B,3,Educational Policy Analysis,W,04:00 pm-06:40 pm,Andrew Michael Saultz (P),08/28-12/16,MCG 122,
,,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
10717,EDP,101,A,3,Psychology Of The Learner,MW,11:40 am-01:00 pm,Jane Elizabeth Richey (P),08/28-12/16,MCG 322,CASC - Social Science and FND - Social Science
10719,EDP,201,A,3,Human Dvlpmnt&Learng/Ed Envir,TR,10:05 am-11:25 am,TBA,08/28-12/16,HRN 012,CASC - Social Science and Hybrid (Partially Online) and FND - Social Science and Service Learning and Top 25
18173,EDP,201,B,3,Human Dvlpmnt&Learng/Ed Envir,TR,11:40 am-01:00 pm,TBA,08/28-12/16,HRN 012,CASC - Social Science and Hybrid (Partially Online) and FND - Social Science and Service Learning and Top 25
50289,EDP,201,C,3,Human Dvlpmnt&Learng/Ed Envir,WF,10:05 am-11:25 am,TBA,08/28-12/16,HRN 204,CASC - Social Science and Hybrid (Partially Online) and FND - Social Science and Top 25
50290,EDP,201,D,3,Human Dvlpmnt&Learng/Ed Envir,WF,11:40 am-01:00 pm,TBA,08/28-12/16,HRN 204,CASC - Social Science and Hybrid (Partially Online) and FND - Social Science and Top 25
71916,EDP,201,E,3,Human Dvlpmnt&Learng/Ed Envir,TR,01:15 pm-02:35 pm,Darrel Raymond Davis (P),08/28-12/16,HRN 204,CASC - Social Science and Hybrid (Partially Online) and FND - Social Science and Top 25
69478,EDP,201,QA,3,Human Dvlpmnt&Learng/Ed Envir,T,02:50 pm-05:30 pm,Darrel Raymond Davis (P),09/11-12/16,MCG 215,CASC - Social Science and Hybrid (Partially Online) and FND - Social Science and Top 25
10723,EDP,220,A,1,Field Experience In Special Ed,M,01:15 pm-02:10 pm,Leah Hope Wasburn-Moses (P),08/28-12/16,MCG 215,
10725,EDP,256,A,3,Psy/Learners With Exception,MW,11:40 am-01:00 pm,Ashley Elizabeth Johnson (P),08/28-12/16,MCG 415,Thematic Sequence
64341,EDP,256,B,3,Psy/Learners With Exception,TR,10:05 am-11:25 am,Cheri L. Bryant (P),08/28-12/16,HRN 304,Thematic Sequence
65946,EDP,256,D,3,Psy/Learners With Exception,TR,11:40 am-01:00 pm,Cheri L. Bryant (P),08/28-12/16,HRN 304,Thematic Sequence
53001,EDP,272,A,3,Intro to Disability Studies,TR,11:40 am-01:00 pm,Molly D. Kelly (P),08/28-12/16,UPH 389,CASC - Social Science and Intercultural Perspectives and FND - Social Science and Thematic Sequence
66126,EDP,272,B,3,Intro to Disability Studies,W,06:30 pm-09:10 pm,TBA,08/28-12/16,MCG 121,CASC - Social Science and Intercultural Perspectives and FND - Social Science and Thematic Sequence
69508,EDP,272,C,3,Intro to Disability Studies,WF,10:05 am-11:25 am,Ashley Elizabeth Johnson (P),08/28-12/16,UPH 389,CASC - Social Science and Intercultural Perspectives and FND - Social Science and Thematic Sequence
69511,EDP,272,D,3,Intro to Disability Studies,T,06:30 pm-09:10 pm,Rosemary Rotuno-Johnson (P),08/28-12/16,UPH 163,CASC - Social Science and Intercultural Perspectives and FND - Social Science and Thematic Sequence
70422,EDP,272,E,3,Intro to Disability Studies,M,06:30 pm-09:10 pm,TBA,08/28-12/16,MCG 121,CASC - Social Science and Intercultural Perspectives and FND - Social Science and Thematic Sequence
